,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio,Buy
65,PENN,0.4872849999999999,0.529059375,0.0,2.575543,3111568.0,0.00805,,2.9,17.533,12216611.0,0.078099996,0.209,0.87943,0.01692,1617148800.0,1672444800.0,2.68,21088835584.0,,11717405.0,0.1058,0.08,1
66,JPM,0.4366675,0.6253928571428571,0.2402,1.184507,7856809.0,0.37177,,11.96,82.307,20003878.0,0.0067000003,12.607,0.73587,0.0089,1625011200.0,1672444800.0,1.13,-242988531712.0,1.549,22999076.0,0.0067000003,1.31,1
67,NCLH,0.6104575000000001,0.6438039999999999,0.0,2.81065,9932909.0,0.0,,0.37,11.833,45923500.0,0.1241,-12.346,0.55436003,0.0043099998,1617148800.0,1672444800.0,3.38,18119958528.0,,41865754.0,0.1367,0.13,0
68,RKT,0.369775,0.5951000000000001,0.0,,3219576.0,0.01673,,,,12461195.0,0.0913,,0.54288,0.01217,1617148800.0,1672444800.0,1.14,30783950848.0,0.266,19357811.0,0.0917,-0.27,0
69,COIN,0.394175,0.3206,0.0,,2658395.0,0.53486,,,,4624166.0,0.0222,,0.28218,0.01837,1625011200.0,1672444800.0,1.32,50401927168.0,48.794,4784207.0,,0.29,1
70,NOK,0.8561475000000002,0.2228636363636363,0.0,0.57435,12630863.0,-0.09743,,0.31,2.431,33425798.0,0.0058999998,-0.456,0.065170005,8.0000005e-05,1617148800.0,1672444800.0,0.68,26013884416.0,,30227472.0,,1.05,0
71,ZM,0.3648033333333333,0.1703862068965517,0.0,-1.482678,5986873.0,0.26613,,4.68,14.236,10577985.0,0.0359,2.9,0.54127,0.14306,1619740800.0,1675123200.0,3.04,105160040448.0,7.404,8804484.0,0.0448,5.37,0
72,WMT,0.533535,0.5169315789473684,0.5046,0.474972,5376062.0,0.021760002,,6.26,27.927,15501522.0,0.0055,4.32,0.30478,0.49275002,1619740800.0,1675123200.0,1.92,438770302976.0,-0.316,15014866.0,0.0109,2.82,1
73,GOOGL,0.44101,0.4039333333333333,0.0,0.998924,1140282.0,0.2857,,95.09,342.743,2933691.0,0.0044,75.04,0.8043,0.00147,1625011200.0,1672444800.0,2.03,1716572782592.0,1.662,2762096.0,0.0098,1.1,1
74,DAL,0.3211925000000001,0.116975,0.0,1.413125,11830139.0,-0.36366,,4.08,0.756,20914908.0,0.0327,-20.507,0.66417,0.00327,1625011200.0,1672444800.0,1.45,47669223424.0,,20013325.0,0.0365,0.5,0
75,BBY,0.3595025,0.6883280000000002,0.2749,1.547826,1718202.0,0.04438,,8.48,16.605,7690522.0,0.0307,8.53,0.81791,0.101739995,1619827200.0,1675036800.0,3.31,27453120512.0,2.742,8586566.0,0.0348,1.32,1
76,TWTR,0.3469216666666667,0.1374375,0.0,0.74076,7944839.0,-0.26852,,1.08,9.718,20159838.0,0.0253,-1.338,0.81304,0.024939999,1617148800.0,1672444800.0,0.87,50407182336.0,,25161641.0,0.029000001,0.97,0
77,PYPL,0.4355599999999998,0.4805962962962962,0.0,1.157065,14571519.0,0.22804001,,5.87,16.56,13804138.0,0.0117999995,4.388,0.82509005,0.00122,1617148800.0,1672444800.0,1.82,333480263680.0,12.06,13403801.0,0.0117999995,2.42,0
78,HPQ,0.4626275000000001,-0.16266875,0.2353,1.015599,13379731.0,0.0656,,3.58,-2.797,36776732.0,0.0306,2.784,0.8086,0.00155,1627689600.0,1667174400.0,4.54,37935198208.0,0.51,35249382.0,0.035,0.49,0
79,WKHS,0.580385,0.4253249999999999,0.0,2.731576,6488846.0,0.0,,-0.38,2.236,40541427.0,0.32889998,-0.649,0.38577,0.08498,1617148800.0,1672444800.0,2.39,1028103552.0,,40749756.0,0.337,,0
80,MRVL,0.6014225,0.4103923076923076,,1.102285,6908487.0,-0.08126,,1.85,18.196,14607138.0,0.0178,-0.373,0.77466005,0.00358,1619827200.0,1675036800.0,2.17,52080705536.0,,17731991.0,0.0229,1.22,0
81,WDC,0.6033099999999999,0.3338578947368421,0.0,1.600543,2887051.0,0.021300001,,8.92,32.513,5391934.0,0.0176,1.143,0.81428003,0.00535,1617321600.0,1656806400.0,0.97,27750797312.0,10.588,5067585.0,0.0199,0.35,1
82,FUBO,0.4292224999999999,0.1059499999999999,0.0,2.833695,4477983.0,-1.7717301,,,,23509925.0,0.1674,,0.31041,0.17778,1617148800.0,1672444800.0,1.57,4436887552.0,,18014202.0,0.18049999,,1
83,UPST,0.4465825,0.3087117647058823,0.0,,3436573.0,0.049250003,,,,10163918.0,0.1322,,0.56249,0.20134,1617148800.0,1672444800.0,1.87,9201185792.0,5.826,5278317.0,0.1973,0.73,0
84,ATVI,0.50504,0.4313772727272726,0.1385,0.601741,7499949.0,0.26957,,4.42,19.734,10557984.0,0.0136,2.96,0.89634,0.008090001,1617148800.0,1672444800.0,2.12,65832185856.0,0.226,8965657.0,0.0137,1.53,1
