Ticker,Conversations,Headlines,regularMarketVolume,profitMargins,sharesShort,sharesPercentSharesOut,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,sharesShortPriorMonth,Buy
VZ,0.5412087912087913,0.541871921182266,0.147943264818406,0.7743815469898678,0.3514808905435639,0.04408352668213456,0.5505022778790168,0.0,0.75,0.8986928104575185,0.22814982973893302,0.29060884952202043,0.42286896973500393,0
T,0.7802197802197803,0.45320197044334976,0.3604940424431308,0.6730641787469568,1.0,0.09744779582366589,0.3811836081603627,0.0013012911512201716,0.75,0.8986928104575185,0.30760499432463106,0.2980466414987182,1.0,0
UA,0.337912087912088,0.5640394088669951,0.02829754664051373,0.6029832557007291,0.23305550002260844,0.47563805104408347,0.6249722209875995,0.27825660785506656,0.0,0.8986928104575185,0.7707150964812712,0.12832229947612225,0.26054125162234165,0
CMG,0.5137362637362639,0.3608374384236453,0.0,0.7223952792772805,0.0,0.1531322505800464,0.8156029156851416,0.02284864293922801,0.75,0.8986928104575185,0.2519863791146425,0.1417617541427558,0.0,1
CMCSA,0.3818681318681318,0.3842364532019704,0.11059768672882671,0.7531083412195652,0.570202466554939,0.08275328692962103,0.7453887283879284,0.010782127357533968,0.75,0.8986928104575185,0.438138479001135,0.26550276544281326,0.639202156989044,1
MCD,0.4038461538461538,0.18226600985221675,0.027695611619488778,0.849217503049765,0.05150432039522727,0.03402938901778809,0.5529690208453709,0.0005069965524234434,0.75,0.8986928104575185,0.18274687854710558,0.21361740881589522,0.04849506895693816,1
CL,0.7417582417582418,0.3830049261083744,0.026592389822355848,0.7829086916369647,0.047868837623510685,0.02088167053364269,0.7001088381705854,0.0032616778205908194,0.75,0.8986928104575185,0.09648127128263337,0.15496482404104783,0.05524976123174587,0
LMT,0.3956043956043956,0.4692118226600985,0.005423746666026888,0.7485511687462554,0.026835307884946077,0.07347254447022428,0.6646183941508512,0.001081592695869668,0.7249999999999943,0.8986928104575185,0.20204313280363226,0.17138134251836035,0.021825211560936728,0
WAB,0.21978021978021983,0.2315270935960591,0.005143839215599074,0.7168551841472093,0.021892736857495255,0.10208816705336426,0.8141472621005379,0.07427499493003446,0.75,0.8986928104575185,0.20885357548240638,0.13234227715333408,0.022699043569797784,0
XRX,0.29120879120879123,0.4211822660098522,0.01923379768064312,0.7029538855374221,0.034675316644990364,0.16550658159319412,0.7708565380683586,0.08549651524369634,0.75,0.8986928104575185,0.08740068104426787,0.1273669206948389,0.0374271247201212,0
PG,0.41483516483516486,0.3608374384236453,0.12117086678034457,0.8023692331710515,0.0994347638594334,0.001546790409899454,0.5299679985777146,0.0014026904617048602,0.75,0.29738562091503695,0.11237230419977298,0.2654557041865694,0.1394858033625194,0
PLTR,0.6456043956043958,0.42857142857142855,0.3841634433871177,0.0,0.43070173756427016,0.19489559164733178,0.0,0.13677076150882175,0.0,0.8986928104575185,0.039727582292849034,0.13970673610798975,0.4053903014751214,0
V,0.6208791208791209,0.6798029556650247,0.05957618896590951,1.0,0.21299601791468006,0.056457849961330235,0.8633717054091294,0.0016223889677550193,0.75,0.5980392156862777,0.27695800227014755,0.3251753750513014,0.24073555769516264,1
KSS,0.5302197802197803,0.6009852216748769,0.028072047758762545,0.6747938628255851,0.08279141788940322,0.5112142304717712,0.8427819458642607,0.016764687690123705,0.25,0.9967320261437891,0.3518728717366628,0.13017335381300932,0.09371145256558659,0
SPG,0.4532967032967033,0.6169950738916256,0.019762095636898583,0.8355523733339902,0.11470643949165421,0.3201856148491879,0.8076580848037691,0.007773947137159466,0.0,0.8986928104575185,0.49829738933030643,0.1515737717287793,0.14439101100527285,0
KO,0.5164835164835166,0.4445812807881774,0.135032669718103,0.8190916465130813,0.23809923969832944,0.014694511214230474,0.5608582603671275,0.010427228756844452,0.7666666666666515,0.8986928104575185,0.20771850170261066,0.2330372460503726,0.21867493462851278,0
MA,0.3241758241758242,0.4039408866995074,0.02833007006756306,0.9517922239658771,0.03902603969338526,0.003093580819798915,0.6568847504333527,0.18750421483133914,0.75,0.8986928104575185,0.10556186152099886,0.2762860285750172,0.05439012580151479,0
LOW,0.36263736263736274,0.20935960591133004,0.03323715184192139,0.7228803592841048,0.04948876104505557,0.03480278422273781,0.6689297302102316,0.0005914959778273506,0.24166666666667425,0.9934640522875853,0.1441543700340522,0.19050525174739694,0.07680163433041272,1
CSCO,0.24175824175824184,0.5024630541871922,0.19715655834496834,0.8159322477002062,0.3966930047537721,0.05259087393658159,0.6141161829414641,0.0006252957479889138,0.19166666666666288,0.3790849673202601,0.19523269012485814,0.20430162329697327,0.45861726754666565,1
VRTX,0.8076923076923077,0.6194581280788177,0.15726098675071185,0.9561324034228342,0.032883894185211204,0.1051817478731632,0.8546490955153563,0.001926587068207936,0.75,0.8986928104575185,0.2542565266742338,0.14439899605541345,0.03932721182536611,0
TGT,0.5274725274725276,0.41009852216748766,0.026009133243062,0.7111172297532978,0.054730118436659404,0.07811291569992265,0.6977532334770435,0.003565875752044886,0.25,0.9967320261437891,0.19863791146424517,0.1694445027149291,0.06919996403412695,1
BABA,0.7252747252747254,0.48645320197044334,0.1403083581345433,0.8390117351086487,0.36225146048247997,0.09280742459396751,0.23617716342948578,0.17204082167241264,0.0,0.0,0.2213393870601589,0.300516392597313,0.39321230792302997,1
PYPL,0.7472527472527473,0.7253694581280788,0.04923332954927141,0.8063264439782453,0.10781826256577356,0.05413766821345708,0.7358549268856394,0.001639288852835801,0.0,0.8986928104575185,0.16004540295119182,0.24057610486439848,0.13430265785574605,1
QCOM,0.945054945054945,0.5270935960591133,0.07305314110298773,0.8554150185468726,0.17743421324692527,0.11832945862335653,0.6578959509311526,0.0017744879334820522,0.7249999999999943,0.588235294117645,0.20204313280363226,0.18682555378168242,0.19282501113385692,1
DVA,0.13461538461538464,0.7032019704433498,0.002420812652654715,0.7240228417866909,0.01630325345902464,0.16086619489559165,0.8554158407040313,0.0493814642060434,0.75,0.8986928104575185,0.3916004540295118,0.13488754368229744,0.021294514841296148,0
PCG,0.6895604395604398,0.33990147783251234,0.07323265778075301,0.6282711054487538,0.5975776991788291,0.25831399845320957,0.5825369571980977,0.4069492327452173,0.75,0.8986928104575185,0.5244040862656073,0.15054129732222635,0.6808930357787192,0
XOM,0.6291208791208791,0.5320197044334976,0.20298080310277475,0.6146187307169745,0.3754162242157961,0.04795050270688322,0.3772945464242856,0.0016223889677550193,0.75,0.8986928104575185,0.1282633371169126,0.2551985163246506,0.5763546186554072,0
CTSH,0.08516483516483514,0.7660098522167488,0.04410856668706939,0.7346690153776574,0.062358327180209505,0.08584686774941996,0.8368149695542024,0.003278577874670452,0.0,0.8986928104575185,0.2701475595913735,0.14142496587435377,0.07955438533174006,0
CRM,0.6593406593406594,0.5307881773399016,0.05075007519360158,0.8081710148222436,0.17280922052458147,0.14849188708430008,0.671774301080048,0.0606705874400054,1.0,1.0,0.34733257661748007,0.21013301178177568,0.1990891790228131,0
IBM,0.760989010989011,0.6083743842364532,0.03687081095567849,0.7277694268573727,0.2189267796089803,0.20649651972157773,0.43480816925196675,0.0018927872980463733,0.75,0.8986928104575185,0.49829738933030643,0.19611042458415967,0.23878787402495738,0
PAYC,0.34340659340659346,0.6379310344827586,0.0009891498851322647,0.7901337926591314,0.005202006611779122,0.13457076566125292,0.6266056269167519,0.26975596565943355,0.0,0.8986928104575185,0.3779795686719637,0.13268999141109103,0.004047283407267962,1
NIO,0.7857142857142858,0.3238916256157635,1.0,0.436742102380575,0.5711093720647409,0.30549110595514306,0.1973976621183164,0.00863584127627932,0.75,0.8986928104575185,0.03064699205448354,0.13679349830563725,0.46312909958462606,1
TAP,0.36263736263736274,0.41256157635467977,0.012112688583797273,0.6307986142868969,0.12422685455215178,0.5483372003093582,0.8008133694830883,0.19054620428581084,0.75,0.8986928104575185,0.6640181611804766,0.13271819698757553,0.15683351542769272,0
CERN,0.47252747252747257,0.4187192118226601,0.03688768709162852,0.7717455276018326,0.10033819054355922,0.3039443155452436,0.7754344637539446,0.002230784830663151,0.0,0.8986928104575185,0.5811577752553916,0.13396783989306424,0.10973677325004602,0
CI,0.35714285714285726,0.3608374384236453,0.01990075614919815,0.7149404047243735,0.03130657263565775,0.06341840680587779,0.8295590581803638,0.024116136010275128,0.0,0.8986928104575185,0.23269012485811577,0.16997362022960327,0.036791130673014615,1
HAL,0.12087912087912095,0.39408866995073893,0.053183983821379795,0.594060386143354,0.12294189571121418,0.10131477184841453,0.6850526690075115,0.00491786638950855,0.75,0.8986928104575185,0.14188422247446084,0.13527680656413815,0.2165732615390864,0
PTON,0.3983516483516483,0.48645320197044334,0.10976435437076706,0.7172636704240809,0.1627994061526778,0.5220417633410673,0.6707409218187476,0.0359798553369837,0.0,0.29738562091503695,0.26787741203178206,0.1353431082931884,0.1455849994024852,1
PEP,0.5412087912087913,0.4458128078817734,0.04771260478828174,0.7484107490355415,0.07310189106607883,0.014694511214230474,0.609471532068092,0.0020786858649361178,0.6583333333333314,0.882352941176471,0.12145289443813848,0.21909459078839644,0.09851750145250104,0
DAL,0.6071428571428572,0.1834975369458128,0.09278680946233941,0.024139049749862695,0.11086210938618422,0.13843774168600154,0.510789368416374,0.005069965524234435,0.75,0.8986928104575185,0.06242905788876277,0.1448821976679881,0.09908121789297296,0
MMM,0.29395604395604397,0.37315270935960587,0.016484146145932934,0.7916975291877806,0.07516080616468641,0.09590100541376645,0.5432685897150985,0.0016561885689177316,0.75,0.8986928104575185,0.41203178206583424,0.1764369652476055,0.08431425006840479,0
MKC,0.7445054945054945,0.26108374384236455,0.014949342333939176,0.7644310702066002,0.03650709505318685,0.11446249033255995,0.7160873816614073,0.005171364834719123,0.49166666666667425,0.797385620915037,0.34619750283768447,0.13635455773892363,0.04499643623322867,0
GE,0.7087912087912089,0.437192118226601,0.49244493312158194,0.6540759475557234,0.8337315450064787,0.053364276875483375,0.5012000977821237,0.0037348746028527,0.75,0.8986928104575185,0.13507377979568672,0.19049211791563347,0.9597133058890894,0
CCL,0.9175824175824177,0.3768472906403941,0.23321408466858054,0.6813168780593787,0.4753283410692836,0.35653518948182517,0.39051735632694784,0.15280876090042586,0.49166666666667425,0.797385620915037,0.1963677639046538,0.1469143447198557,0.5110122579760621,1
