,Ticker,Conversations,Headlines
120,FI,-0.016143103448275877,0.125
121,FIX,0.15948607594936715,0.41015000000000007
122,FLNG,0.20312857142857127,0.2294
123,FLO,0.17396000000000006,-0.24208571428571427
124,FMS,-0.0054275362318840555,0.47109999999999996
125,FSLY,0.2531099999999999,-0.05406153846153845
126,GCP,0.02457285714285715,-0.1919125
127,GKOS,0.06801046511627909,-0.24466000000000002
128,GLOP,0.2757472222222223,0.13665555555555553
129,GOL,0.14768156424581,0.2202
130,GPX,-0.04061900000000002,-0.08664285714285713
131,GRA,0.11188160919540233,0.73055
132,GSBD,0.07640116279069767,0.06865294117647058
133,H,0.030743604651162784,0.17515
134,HBB,-0.02601600000000001,0.0
135,HE,0.09698031496062993,0.0734
136,HLI,-0.025403174603174598,0.08546666666666665
