,Recent headlines and conversations for NKE,Polarity
2265,"I dont know if any of you have been paying attention to earnings lately but this the new normal.. it will go red, finish down a couple dollars then go up tomorrow finish around $104. This is expected. losses were expected, good guidance is expected.",-0.5166
2266,Nike is a rock star.Trump is a former TV game show host.,0.7357
2267,Nice comeback for the Markets.Somebody must have forgotten to tell NKE about it.,0.4432
2268,"That's not a swoosh sound you're hearing. That's the sound of air leaking from the ad campaign, ""sacrificing everything"".",0.0807
2269,One Kap ad-lots of shoe burning-lots of thomasa hand play-NKE going strong!GO NKE GO KAP!,0.5397
2270,Reality check will kick in tomorrow. Take your profits and run,0.4221
2271,I AGREE MANGEY DOG PEOPLE LIKE SNIPES IN FLORIDA HIDING BALLOTS IN HER CAR ARE DONE LAND WHALE IN GEORGIA CAN DO AUNT JEMIMA COMMERCIALS,0.6969
2272,Simply get $dpw you won’t regret it !!,-0.4306
2273,If the Dem/Coms don't win anything in the mid terms they will never recover from the Trauma LMAO,-0.1159
2274,"Actually while so many liberal snowflakes are worried about their anti American boy, Conservatives have enjoyed watching the new Supreme Court Justice getting ready to make real change for our country. Love the distraction from the real change. You guys watch the big game tonight, we'll be watching our judge get closer to confirmation. I love this country and the ignorance of so many.",0.9741
2275,Oh boy! Trumps economy is going to set a new RECORD for the DOW! Definitely winning..............,0.7793
2276,The LEFT COAST lives in their bubble. They think only their opinion matters. They forgot the deploreables can ruin them.,-0.4478
2277,ultimately...... the CONSUMER will decide!,0.2517
2278,#EarningsFAILDisaster!!,0.0
2279,POS company,0.0544
2280,Zee keeps saying the boycott started at 50. He's lying. It started in the $80s. Oh and by the way... LOL!,-0.394
2281,"Think about it from a shareholder perspective. The people, the many, many people, on the anti-Kapernick/kneeling side of the issue are quite passionate about their point of view. Why in gods name would you purposely stick your finger in the eye of that many people. You will never, ever pick up the lost sales. People in China, rest of Asia and Europe don't give two craps about Kapernick or this issue, so you're not getting it there. Over the medium term it's got to be a big negative in the US. One of the most mind-boggling things I have ever seen.",0.9378
2282,Illegals are causing so many problems for mexico!,-0.4429
2283,Nike is going for the culture.,-0.0055
2284,Great earnings guys,0.662
2285,I will never buy Nike's again........,0.0728
2286,Nike is a bubble stock that is going to be deflated from this..,0.062
2287,New Balance has always worked for me. Will continue to do so.,0.0805
2288,nike cannot beat sp500 anymore in next few years,-0.1841
2289,"New Balance supports manufacturing in the US, has a ready supply of shoes for wider feet, and is opposed to child labor in foreign countries to make their products. NB should be the choice already, and its good that this issue has people looking into it. Just search NB and Nike and look into their political leanings. I did and I won't buy Nike any more. Thank you for waking me up Nike!",0.9209
2290,@ 78.75 in premarket tomorrow a lot will unload here,-0.4249
2291,Lots of companies in development and clinical stage don’t make any money are trading higher. Nike makes money and you shorts/ haters saying that it’s overpriced? I hope $140 for tomorrow.,0.458
2292,What is the Nike swoosh? Is that the mark the whip leaves on the slaves at Nike factories?,-0.2224
2293,Choose anything but Nike!https://goodonyou.eco/ethical-alternatives-iconic-shoes/,0.1686
2294,NKE down after hours again down 8 days in a row. Last time this happened stock lost 40% over the next 3 months,-0.6395
2295,hit the line button if you think the Blue Tsunami is actually Hillary Clinton...... haha,0.5133
2296,$NKE will be going much higher after this announcement. They understand who their real customers are and made a great business decision.,0.8064
2297,Waiting for 50 to buy.,0.1386
2298,"I will not be buying anything with nike on it neither. Nike should go into the knee-pad business, thats where there customer base will be.",0.65
2299,.20 cent dividend went X 8/31 so if you chased this stock for the dividend you lost 2.60 to get .20 Technicals show a head-shoulders formation downside to 76. Schwab shows 32 insiders have sold a portion of their stock. From the time of the announcement to the present NIKE lost (intrinsic and good will value) of about $3.3 BILLION...this is a DJIA stock using a has-been to get some PR...but is it really good PR? Is it something to be proud of....? I won't buy NIKE products there are plenty of alternatives that are just as good and at a lower price. I don't own the stock and don't intend to purchase. They don't provide manufacturing jobs here in the U.S.,0.9569
2300,Basically average day’s volume in first hour of trading! A lot of people selling,0.4249
2301,SHEEP ARE LIKE HELLO 80.00AFTER IT JUST FELL 6.00ROFLMAO,0.3948
2302,Sunday night in Chicago rioters and looters struck again causing $60 million in damages. Retailers that sold work boots and shoes were not affected.,-0.6177
2303,So you want Pelosi. Maxine Waters and Schumer back in charge House. God help us all. Market will go down 2000,0.4786
2304,down 2.60 yesterday up 0.32 today not exactly snapping back shares,0.5172
2305,"This is only the beginning of the run down word. Of course Nike will not go bankrupt. The stock harbor will continue to drop because they have a very bad reputation especially in America which accounts for around 70% of all their business. Nobody that I know he’s willing to buy their products anymore due to the anti-American stance which I said before accounts for 70% of their overall business. Bad decisions lead to bad outcomes, if you’re long you need to get their management to snap out of their anti-American PUBLIC stance.",-0.9079
2306,Didn’t raise guidance?What about the Colon effect?Something smells fishy I’m getting out,0.1061
2307,NEW FACE OF THE DEMOCRAT PARTY,0.1847
2308,"longs can't get it over 80, it's gonna collapse.",-0.4499
2309,50 range is where its heading...,-0.0215
2310,It's goin' into stage II colon cancer....watch out!,-0.6032
2311,nke gives maxine waters free sneakers....is that legal?,0.5866
2312,"OK. Does NIKE sell sports wear or is it a political tool for the liberals?A sports wear company could make money from any person.A company involved in supporting liberals who refuse to stand for our national anthem will have a more limited market available to them. In fact, when you support those who are more likely to break into a store and steal your product, then you just made a bad business decision.",0.3762
2313,"October jobs report smashes expectations, wages rise at fastest pace since 2009THANK YOU PRESIDENT TRUMP !Don't LET NASTZI PELOSI TAKE YOUR PAYCHECK !! VOTE REPUBLICAN NEXT TUESDAY !!",0.4956
2314,In respect to pat Tillman everyone should not watch Thursday night football . Nike is featuring the Kaepernick add.,0.8171
2315,"DUMP NIKE - ""JUST DO IT""",-0.2589
2316,Play that Kraperdinck ad again.............please HURRY!!,0.3403
2317,"Rush says ""Screw Nike""I tend to agree.",0.1452
2318,Um yea. Looks like it’s breaking down,-0.014
2319,Sky looks blue with some clouds,0.5596
2320,Pumped and now DumpeddddShould have sold with the Exec's during the Buyback,0.3661
2321,Sold all my KO and bought Nike for the first time.. looks like I have some muting to do on this board.,0.6021
2322,Boycott Nike,-0.3182
2323,I will never buy another Nike product ever again. Boycott Nike!,-0.1643
2324,Do not try to justify the bloated valuation of this slimey outfit.That gap at 71.50 will be filled in time.,-0.5867
2325,Picked up a nike golf ball on a fairway and chucked it into a pond!,0.471
2326,NKE CRASHINGGGG UNDER 71.THERE IS NO BOTTOM!!,-0.5932
2327,NIKE SAYS THEY ARE GOING TO HIRE AVENATTI AND ACOSTA FOR THEIR NEW DOMESTIC ABUSE SHOE LINE,-0.1993
2328,"Nike lost 790M last quarter, still listed as 67 P/E. How and why is this stock keep going up?",0.2951
2329,Simple Boycott Nike products for ever and ever. I am done with them.,-0.2455
2330,"Blue Tsunami, THANK YOUR GREAT PRESIDENT FOR YOUR LIFE. Otherwise, you would be living in a tin hut hovel...MAGA!!!!ENJOY! and CHEERS!",0.9516
2331,NKE was great buy opportunity yesterday. Can't keep a great stock down.Go NKEGO Kap,0.8938
2332,I am switching over to Lululemon and Adidas starting today,-0.0081
2333,Maxine Waters opens her trap and the market rolls over.,-0.4119
2334,I sold my NKE...I don’t care if the stock price skyrockets...,0.6625
2335,Where do I go to talk about NKE,0.2183
2336,"On September 3rd, 2018, ""Just do it"" became ""Just be dolt""",0.2751
2337,Class action lawsuit paperwork is probably happening all over the world in many law offices as i write this. Nike is going to get crushed by this. Short it to at least $15 buck.,-0.5212
2338,"""JUST LOST IT!"" New Nike slogan thanks to Serena..",0.3896
2339,NKE to $30,-0.0046
2340,"Remember when Mueller investigated Obama's closest adviser, born in Iran, with Communist family ties?Hillary said she couldn't remember either.",0.1916
2341,Trump at 51% Approval in Newest Rasmussen Poll !! RED WAVE!!,-0.4913
2342,Hard to believe sane people are actually investing in this stock.,0.2357
2343,breaking news. Lebron and Curry sign with Nike.,0.1055
2344,"I'll do more than ""Just do it""....I'll just not BUY IT. No respect for you Nike.",0.7745
2345,Short this puppy to 0....I’m done with Nike,-0.4609
2346,I respect their right to express their views but not while we are paying them to work for us. I assume that they respect our right to boycott if we don't like their views. It seems to me like Nike should be in the business of promoting shoes and Ford should be in the business of selling trucks and not taking sides in political issues. You can bet that Nike and Ford are trying to position themselves on the cutting edge of the future so that they can make more money. Only time will tell if they succeed or get hurt badly.,0.8307
2347,Get out of NKE. Just do it.,0.2862
2348,how does NKE announcing after hours effect Fri ex options ? would be bad to lose money a put because NKE annouced after hoursmaybe a law suit or 2 if they have something dramatic to report.,-0.4735
2349,Ratings for NFL opener down 8% from last year opener. Wonder why?,0.2078
2350,had to go buy shoes today at an outdoor mall. Went to under armor first. Didn't see anything I liked. Walked by the nike store and went to rack room shoes. Then walked to adidas. Nothing there either that I liked. I then walked by the nike store again to the other side to the File store. Spent 200 dollars. I would go barefoot before wearing nike.,0.1894
2351,YOU CAN BE SURE MANY will spend some of their stimulus money at Nike ,0.6967
2352,"Pelosi has him cornered with his shutdown. Another missed paycheck coming up for 800k fed hostages and their families. “Nearly 6-in-10 voters — 57 percent — disapprove of Trump's job performance, compared to the 40 percent that approve. In addition, 54 percent of voters blame Trump and Republicans on Capitol Hill for the government shutdown. Only 35 percent blame congressional Democrats.”",-0.592
2353,I will greatly enjoy watching this stock fall.,0.412
2354,"MOST of American people who wearing New shoes are Nike, SO NKE sales in May quarter sure be very very strong, SO don't sell NKE, strong buy NKE.",0.8725
2355,"Next time don't take a knee and disrespect United States Military, Police, Firefighters, and the Flag Nike...Nike unofficially banned on all United States Military Installations.",-0.0811
2356,Markets up nicely today.NKE.... NOT :(,0.393
2357,Can’t wait to see the new NIKE commercial during tomorrow’s NFL game.,0.5039
2358,"If Nike wants to use Kap as the new ""just do it leader"", why don't they market the pig socks that he wore a couple of years ago? That would go over well....",0.0582
2359,"This awful move does not make sense to me. I guess my $ is not desired by Nike anymore. Will not buy Nike again and my view of the brand and company is extremely negative - visceral reaction, down deep. All Goodwill I had toward this brand is all gone.",-0.511
2360,"The way this is hanging around flat on the day, wouldn't be surprised if it turns green during call. China up 16% and US up 9%. far better than expected by analysts",0.6889
2361,Nike is a sin stock,-0.4312
2362,"Not a single analyst with a sell recommendation, 2/3 have buy with the other third saying hold. Somehow the exact opposite of the comment section on here. Who would you listen to?",0.7846
2363,NKE is lying about impact using coached words like offsetting to buy time. Offsetting is word that does not mean 1 for 1. Under Armour says sneaker sales will be down 60%. Wells Fargo told all investors that 10% of the entire market will not comeback ever and after a small pent up demand they will be down 50% or more in the retail space. NKE is an illusion at these prices.,-0.1794
2364,tRUMPsters be like......”wait ‘til 2068 earnings....THEN it will drop......mark my words!”.....,-0.1117
2365,boycott nike,-0.3182
2366,Come on libs keep buying,0.4159
2367,Nike screwed the pooch and anyone affiliated with them be it a customer or shareholder is in alignment with their endorsement of Colin.,-0.2483
2368,"Media will pump Nike , -FAKE news , Nike is gold , ect----more traders are BUYING than selling --Hold the line , dont let up , Cut-up-----Black out logo , give to thrift store , let the homeless wear it---",0.5244
2369,HOW ABOUT THAT SMUULLET GETS THE CLINTON TREATMENT.Chicago police told not to probe Smollett before charges dropped,-0.611
2370,My family will NEVER buy Nike products ever again!!!,0.5648
2371,nike store closed will drop,-0.5463
2372,I was out too early.,0.2052
2373,KARMA ? THATS FUNNY LOOK WHAT YOUR PARTY DID TO KAVANAUGH BELIEVE ME WE WILL REMEMBER KARMA,0.7795
2374,SHORT THIS TO UNDER $50,-0.6994
2375,Ha ha - DOWN GOES NIKE! Anti-American company going to $50/share. Great to see.,0.7691
2376,The Kaepernick effect in action... down big time!,-0.1323
2377,I will never buy Nike or Nike stock again I shorted tsla at 353 and Nike at 82.25,0.3697
2378,"i am going to conservatively (pun intended) assume their US sales will take 20% hit. 40% of their total rev is from US. That's .4*.2 = 8% hit to their total revenue. Profit loss will be more like 10%, meaning stock has to go down much more. Throw multiples contraction on that and we could be looking at 20% drop. Conservatively.",0.4652
2379,Nike no ones spending on trainers rather pay there debts and eat. This stock is going to fall heavily.,-0.369
2380,"Good old marketing basics, like the supply demand curve, always holds true. This new stuff, like controversy sells, and marketing through social media, has become a killer for Nike.",0.7211
2381,New highs tomorrow! :),0.5643
2382,I for one am extremely grateful that my President is able to explain to us all what it was that people meant to say and not what they actually said. Methinks that the CDC head is the next to get squished in the White House revolving door. Highest turnover ever. Highest debt ever. Most shutdowns ever. We're number One!Bigly. Believe me. Conthief! MAGA - Masks Are Gawd-Awful,0.7353
2383,When do they pay Div?,0.0033
2384,This will open at 80 tomorrow,-0.1415
2385,IF YOU TURN THE SWOOSH UPSIDE DOWN IT LOOKS JUST LIKE NIKES DAILY CHART,0.5841
2386,https://www.zerohedge.com/news/2018-09-05/green-beret-sniper-and-his-military-friends-are-pissed-over-kaepernick-nike-ad,0.0
2387,long term avoidance of nike will have its affect.,0.0518
2388,Nike is heading down the Krapperdyck,-0.2562
2389,time to shorts nike,0.0995
2390,"The precedent has been set. If you don't like who got elected, create a crime and go after everyone around them.",-0.3919
2391,Bye bye Nike. Classic attention seeking marketing flop. Don?t ever toy with Patriotism and or people?s families whose blood was shed for freedom. Hero my #$%$,0.6266
2392,"NKE like every other stock has huge gap ups and down in how the market is trading. Technically speaking, that would say NKE should fill the lowest gap from $62.50. Also on the upside gaps it needs to fill. I guess the question is will this continue higher to close those upwards gaps sooner than later.",0.8379
2393,Covid19 CURE @ VXRT$7 stock up 300% aimed at 1200% by next week and going to 150-2500 as the CEO said they are able to produce up to 1 Billion pills to handle the world Demand Also a universal flu shot,0.8839
2394,Just do it Kap said!,0.2153
2395,we all love trump!!!!!!!!!!!,0.7504
2396,"Thru next quarter, this stock will be an education in emotional investing. Millennials are buying up shares in support of ""Pig Socks"". Shares are already an extreme premium, up over 50% and their products are way overpriced(huge markups), for even lower quality. They used to have a quality product, but now the bean counters have reduced them to a marketing machine, which is successful on low IQ consumers. I sold and won't risk this potential cliff hanger. Great time for Rebok to pounce!",0.9773
2397,guess nike stopped buying back their own stock to prop it up,0.0053
2398,I hope Nike goes to 5,0.4371
2399,"Shocked that NKE is still up, what with the 12 people burning shoes... It's ALMOST as if it's a global company...",-0.0368
2400,Never Nike.Forever Hong Kong.,0.1838
2401,Lock up Trump and man-without-a-pulse Pence and hand over the presidency to Nancy till 2020. She’ll get things done.,0.5352
2402,Hey who else is looking forward to the coming civil war? I’d say within the next 20 years for sure. lol.,0.3413
2403,I would be embarrassed to have the NIKE logo on anything now!,-0.26
2404,"It's not much, but I'm selling all of my Nike stock tomorrow... Getting out while its still worth something...",0.7873
2405,Give me a thumbs up if you think ‘BA’ plays with his moms dresses...,0.5423
2406,"come on Snowflakes..... you gotta buy more...... buy this dip, the next dip and even the next 20 dips.",0.6952
2407,"when the first store has protesters at their doorstep, game over for Nike",-0.2797
2408,"Since he is a billionaire, Trump committed to giving the salary that he earns as president to different causes.Trump donated the salary that he made in the first quarter of this year “to the Department of Veterans Affairs, a gesture the White House said underscores his commitment to recognizing the sacrifices to military and their families,” the Military Times reported.Since taking over as President, Trump has lost approximately $400 million in personal wealth — which is most likely the greatest decline in personal wealth any U.S. President has ever endured.",0.921
2409,buyer at 76.00,-0.2249
2410,$50.00 by close.. Or less.. Now the mass exit begins....,-0.1908
2411,I FEEL BAD FOR YOU DUMOCRATSIM GOING TO HELP YOU OUT LOOK HERE JUST FOUND ANOTHER KAVANAUGH ACCUSER,0.1413
2412,Reminder: NKE is here to stay. Tiny out 2020 or earlier. This is GOOD and getting “GOODER” by the day !!!,0.7282
2413,FAKE NEWS SAID MILLENNIALS ACCOUNTED FOR 50% OF EARLY VOTING IN TEXAS TURNS OUT THE REAL NUMBER IS 2%ROFLMAO,-0.2566
2414,Just SELL it,0.3523
2415,"NKE puts are really at work today, up to +39%. With more people out of work or making less their sales are kaput. The days of McDonalds worker wearing Michael's shoes are short.",-0.4172
2416,We will continue to thrive under TRUMP. I have until 2024 to convince people like Prophet that economic freedom is the only solution,0.8117
2417,it's a $60 stock,0.1899
2418,"If a company is listed on the NYSE, it should be required to pay its global workers similar pay to that of American workers.Also, is not very environmentally friendly to ship product across the Pacific Ocean, and then across the US.If you are green, if you care about the environment, you should be concerned about the worldwide pollution caused global shipping. In the future, under socialism, as much product will be made locally, to drastically cut down on shipping pollution.Since under socialism, we won't be doing anything, anyway, except living in caves, and chiseling images on the walls.",0.7023
2419,Nike opening a new plant in Venezuela???,-0.2738
2420,didnt nike learn anything from espn......,0.4047
2421,89 next week,0.0313
2422,Down 3% at opening. Got out just in time.,-0.0478
2423,"Nike has become another flagship for hate, racism and divisiveness in this country. It is a good example of how outside forces are out to trip US up and help us fall.I love this ""my"" country and ALL its people along with its and their, faults and defects, it is still the greatest place on earth to live, although it is slipping into socialism. This is not the way to fix anything, it just makes it worse,GOD save US and help us heal ourselves. Lets All be American and Stand United. Be the change you seek, instead of complaining help fix the problem. Think about it.Love Papa Bear",0.9074
2424,Down on Earnings means Downnnn all quarter,-0.1546
2425,yea baby holding onto nike till it hits 200 to book some profits,0.8416
2426,Something BAD is brewing... I think we all know why!,-0.5834
2427,“Dead cat bounce - Just do it!”. lol,0.5712
2428,This stock will be 50 bucks by the end of the year.,0.0732
2429,This is too funny. Now Former Iranian President Mahmoud Ahmadinejad has come out in support of Collin and Nike. You can’t make this stuff up. Someone needs to get fired at Nike wow!,0.8837
2430,Nike Globalists are banking on ordinary American forgetting 6 months later. They're in for a big surprise.,0.4361
2431,Annnnd you shorts realize comments on a msg board will not cause millions of shares to move in your favor? it wont help cover your short interest either... bwahaha!,0.7572
2432,"JUST ORDERED $300 WORTH OF SPORTS MERCHANDISE OFF AMAZON PRIME, BIG SALE TODAY. 2 PAIR OF TENNIS SHOES, AND 9 SHIRTS. Neleus Men's 3 Pack Compression Baselayer Athletic Workout T Shirts,5022,Black,Grey,Red,US L,EU XL bottom line no NIKE MERCHANDISE AT ALL, NOTHING AND THAT'S BEEN THE CASE SINCE KAPERSISSY.",0.9275
2433,"Profit was $1.45 billion for the quarter ended Feb. 28, compared with $847 million in comparable period a year earlier. That's growth lol.",0.826
2434,"CY, BLUE PUDDLE IS TO EMBARRASSED TO COME BACK THE ONLY THING THE DUMOCRATS TOOK TUESDAY NIGHT WAS THE DONATION MONEY FROM THEIR SUPPORTERSBOZO O'ROURKE RECEIVED 100 MILLION AND LOST ROFLMAO",0.5019
2435,Very sub-par quarteback,0.0
2436,Down 2.30 in premarket. The person who thought this up at Nike needs to be fired ---NOW,-0.5806
2437,The owner of Papa John's makes a true statement regarding the NFL and the board of directors kicked him out of his own company. I'd like to see Nike do the same thing.,0.8745
2438,"How’s the woke company doingNo sports, no sells, lot of guaranteed contracts worth hundreds of millions of woke dollars to payout",0.4586
2439,F Kaepernick!,0.0
2440,NKE investors are having losers lunch today. How's it taste?,-0.4889
2441,"Gladys Knight says she not only disagrees with Colin Kaepernick using the national anthem as a protest, but she also says she's been in the game a lot longer than him when it comes to the fight for social justice.and nike was WRONG",-0.7209
2442,Who will be Trump's next SCOTUS pick?,0.1182
2443,Bright red at close,0.157
2444,Try standing on the front lines not line offensive line btchs,-0.4225
2445,Never Nike!,0.1019
2446,There should not be a separate women's and men's tennis and golf circuit. There should only be gender-less professional sports.,0.7816
2447,Kobe stuff -sold out --- huge gain for stockholders - stock is flying.,0.8289
2448,No Nike products for Christmas,-0.0406
2449,6 month low. Ouch!!!! #Krapernick,-0.4776
2450,Nike . . . Just Burn It.,0.1643
2451,NKE heading to $50 soon!,-0.0787
2452,See day one I taught no profit his first lesson,0.3784
2453,"CEO new mile slogan ""Just Say NO to Nike""...Comics everywhere toasting CEO and Nike Board for all but endless Comedy Material....""Just Say NO to Nike""",0.3175
2454,"I will and have not bought a nike product since they partnered with coleen KapperIdiot, and never will",0.1658
2455,"NIKE - the official shoe of Antifa !! Buy 2 pairs and get a ""face scarf"" free.",0.4327
2456,A lot of old guys will be selling their Nike shares to Millennials tomorrow.,0.1871
2457,Its DoomsDay for NKE,-0.5646
2458,The silent majority will speak with our wallets,0.086
2459,NOTICE THE DUMOCRATS DISAPPEARING ACT ONCE NKE TURNED RED,-0.1523
2460,"Nike down a few pennies, but the percentage decline is much less than the DOW and overall stock market. Bravo for your out-performance once again, Nike!You have swelled The Institute's endowment fund to a massive girth! Thanks to Nike, our endowment fund is well-endowed indeed!",0.8249
2461,"Taking a stand, or rather a knee, against the flag which has covered the caskets of so many who actually did sacrifice everything for something they believe in, that we all believe in? Well, the irony of your ad..it almost leaves me speechlessTaya Kyle",-0.1231
2462,Let them give birth in Tijuana,0.0981
2463,I will and family will never buy a Nike product again! Never!,0.3556
2464,mars 's cannot even read his loss for the day...even though it's fictional,-0.3067
2465,71.50 is a lock,-0.0252
2466,OJ next spokesman,-0.0083
2467,It is time to make a move in the markets. If you are looking for a free newsletter that can help you choose the right stocks check out (http://newlife-stockalerts.tech),0.8907
2468,I will no longer be buying Nike products until they move their factories out of China to the USA.#trump2020,0.3578
2469,Looks like reality setting in with market,0.427
2470,"THIS MAY BE A COINCIDENCE BUT STACEY ABRAM IS 200,000 IN DEBT THE GEORGIA KRISPY KREME HAD A 200,000 INCREASE IN SALES LAST MONTH JUST SAYING",-0.2775
2471,I still don't understand why anyone is buying NKE products. With so many solid options from companies that focus on running their business and not politics.,0.6573
2472,"If Elizabeth Warren is Indian, then I'm chief waahoo",-0.2053
2473,"Drano calls CEO Parker for deal to use NIKE Swish symbol on ""DRANO CANS""...Drano sure that will increase sales...CEO mark considering ? as desperate to get any profit to displace the Kapernick Nike Stock Disaster...and Mark says knows ? the Colin Cancer spreads FAST...",0.2429
2474,Great short here...so over bought and the upgraded with target of $98 leaves virtually NO upside......BUY PUTS!!!!!!!!!,-0.5215
2475,took a gamble and they lost!,-0.2738
2476,Will never buy another Nike product!,0.254
2477,CNBC is mentioning the Nike fiasco every ten minutes. You can forget about any sales to stock investors. lol,0.3375
2478,FORD'S EX-BOYFRIEND CLAIMS SHE LIED DURING TESTIMONY MR FBI DIRECTOR WILL YOU BE FILING CHARGES AGAINST FORD ???,0.5704
2479,ALot of Dem activity here today - since when did they have compute access ? I guess could be at the Library.,0.4457
2480,Nike thinks July 4th is a day of mourning!!,-0.5173
2481,"Just Do It! no, JUST RETURN IT!",0.2629
2482,who sounds off on a terrible marketing idea of using a washed up athlete with anti-American views as a spokesman. truly the upper mgmt is asleep at the wheel .... once again at nike.,0.5982
2483,Nike sales went to zero in the US after Zion's shoe blew out.,-0.0391
2484,BOZO O’ROURKE HAS SPENT 100 MILLION AND STILL LOSING TO CRUZ ROFLMAO,0.6022
2485,Never buying Nike again,0.3238
2486,"If there is anything like sure money short NKE. I did. I will never watch another golf, football, basketball game thanks to NKE. The players should cancel their contracts with NKE and quit with the logo. The problem is that they are all greedy and want the cash. I will not respect any athlete that wears a NKE logo. I will not be watching sports anymore so I wont see it. United we stand and divide we fall. This is the most BS I have seen in my entire life. My shoes are in the trash can burnt to a crisp. We can put NKE to rest as short the stock to #ell",0.7936
2487,No more 1.00 per pair sneaker costs from China for Nike ?,-0.1439
2488,This is only day one,0.3503
2489,Not ever buying anything Nike again,0.4328
2490,"I thought this was surely dropping with earnings. I was wrong, clearly. Hats off to those who bought at the recent low. Today was nice for you.....especially if you sell. It will be interesting to see if it dips again...... good luck to all.",0.9289
2491,"this is the first stock I'll ever short, it's a slam dunk. Thanks Nike, you are toast in the near and long term.",-0.3218
2492,"ok basher we did our job,but can't take all the credit kap helped hehe",0.7451
2493,DUMOCRATS LOVE THE ILLEGALS AS LONG AS THEY CAN HIDE IN THEIR GATED COMMUNITIES AND NEVER HAVE TO LOOK AT THEM,0.7719
2494,sold,0.0
2495,I'm buying Adidas for everyone this Christmas,0.5433
2496,Over 105 next week,-0.0752
2497,best long term short in the market,0.5602
2498,https://www.msn.com/en-us/news/politics/barr-assigns-us-attorney-in-connecticut-to-review-origins-of-russia-inquiry/ar-AABjF9Ulet's get the party started,0.3985
2499,"Im a 20 year old sneaker head and I love my nikes and Jordans. For each pair of nikes and Jordans I own, I will buy 1 share of NKE. TIme to own the company I almost always have on my feet!",0.8301
2500,"Just bought some addidas golf shoes! Very nice! Thanks, karp",0.8285
2501,"For people who keep posting how great NIKE was in the last 12 months, you are just not getting it. Nobody is questioning Nike's performance in the last 12 months, people are questioning the future performance AFTER the latest Kapernick ad campaign. The latest result was based on earnings before the campaign, we don't know the latest result until next Earning Release. Stock market looks forward not backwards, and past performance does not guarantee future performance.",0.9251
2502,Market makers will make this look like a good entry point for about a week or two the watch out this pup is heading south.,0.3802
2503,Glad I don't own any Nike stock. I just went threw all my Cloths and threw out the Nike stuff. I love America. I just did it.,0.8935
2504,"Under Armour up almost 4% today, 14% for the week. Man do conservatives spend money.",0.3626
2505,Trump Losing Support Among His Base - And It's Only Getting Worsehttps://www.outsidethebeltway.com/trump-losing-support-among-part-of-his-base/,0.5063
2506,invest in ipnff... the next dominate ar compnay... big news tommorow will take this to the moon,-0.0107
2507,the only thing that can destroy this country is more socialism,-0.2415
2508,YM UP 270WHAT HAPPENED TO NIKE ????,0.3972
2509,Markets highest ever. Thank you President Trump!!,0.6556
2510,"Let me see if I got this right,I can buy a shirt at Sears made in China for $7.99 on sale or buy a Nike made in China for $29.99 on sale cause it has a swoosh on it.",0.7918
2511,Love these analyst changes. Why does anyone pay a financial advisor?,0.6778
2512,Well hold on just a minute: wait to you see what happens in the next 60 days as mutual fund managers are being petitioned by investors to rethink their allocations in a company (Nike) that is parading kap in an ad campaign who many think is dishonoring patriotism......and if you ask me...the typical investor is more likely a hard working American who stands for the national anthem rather than a nose pierced peaked in high school Starbucks server backing Nike’s campaign.,0.7721
2513,"HEY, THAT SWOOSH IS RIGHT HANDED...CHANGE IT TO LEFT HANDED!",0.203
2514,My Puts are finally up!! I love US and A!!!,0.8247
2515,"nike has lost it's appeal. it's getting desperate and will try anything to get customers. the problem with nike is that they lost many of their devoted fans but now rely on the tide pod generation. good luck to them. hopefully they don't fall like target, kmart, sears, toys r us, radio shack, jc penny, etc etc etc...all those iconic stores you never thought would go out of business or struggle so bad that they had to close many of their locations.",0.9369
2516,"""I can run faster in Nike, after I rob a 7-11""",-0.5636
2517,"Nikes new Slogan,,, Just Drop it",-0.0778
2518,"California - talk to any liberal who doesn't live there and they think it is great. This is the economic model they want for the entire country. Rich get richer, poor get poorer, and the middle class vanishes. Wake up LIBERALS! https://www.forbes.com/sites/thomasdelbeccaro/2018/04/19/the-top-four-reasons-california-is-unsustainable/#2ac65d5f3a23",0.902
2519,HOPE NKE GOES TO 0 FOR BACKING A PIECE OF %^%$^%^ LIKE KAEPERNICK,0.836
2520,"https://ilovemyfreedom.org/ocasio-cortez-has-genius-idea-to-pay-for-medicare-you-just-pay-for-it/It’s widely believed that if all members of the United States government were using the same health care plans as the citizens, that health care problems would be fixed in a New York minute. NO DOUBT !",0.3072
2521,The shoes should have a weight limit. I’m not sure a pair of combat boots would hold up with as big and strong as this guy is. A lot of advertising for NIKE for free. How much better does it get.,0.9107
2522,NKE must go to 71.12!! I hope it holds so I can start shorting on it again next week,0.6094
2523,Mr T was right....Pain!!!,0.2603
2524,"That Nike ""protest"" sure was short-lived. I guess fat, old guys really don't buy tennis shoes after all lol.",0.6408
2525,Wait until the schools cancel their shoe and uniform contracts. Yikes!,-0.2888
2526,"Okay then he should have taken Denver's offer, being statistically superior to half of the NAPs BACK-UPS, again BACK-UPS does not make him a good NFL QB. Should have taken Denver's offer, like I said probably would have landed the back up job there. Easy Peasy...",0.9677
2527,"sorry nike fans, but I've never liked nike shoes, and I went into a nike store recently and thought it was a joke. I was looking for a pair of shoes and saw everything but. The chart pattern also looks like a disaster about to happen.",0.5911
2528,Here is a basic rule of trading... Don't let your politics trade your money,0.1674
