Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
INGN,Inogen Inc Common Stock,$48.64,-0.91,-1.837%,1099795587.00,United States,2014,252430,Health Care,Industrial Specialties
INOV,Inovalon Holdings Inc. Class A Common Stock,$40.47,0.02,0.049%,6106302838.00,United States,2015,1036725,Technology,EDP Services
INTC,Intel Corporation Common Stock,$54.99,1.15,2.136%,223094430000.00,United States,,22629128,Technology,Semiconductors
INTZ,Intrusion Inc. Common Stock,$4.06,-0.20,-4.695%,71555494.00,United States,,417259,Miscellaneous,Diversified Manufacture
IRBT,iRobot Corporation Common Stock,$83.14,-0.28,-0.336%,2332162219.00,United States,2005,311614,,
JAKK,JAKKS Pacific Inc. Common Stock,$13.00,0.12,0.932%,128390600.00,United States,1996,70437,Consumer Non-Durables,Recreational Products/Toys
KLXE,KLX Energy Services Holdings Inc. Common Stock,$5.56,-0.43,-7.179%,49100399.00,United States,,201446,Energy,Oilfield Services/Equipment
KRMD,Repro Med Systems Inc. Common Stock,$2.97,0.02,0.678%,132198151.00,United States,,81101,Health Care,Medical/Dental Instruments
LAZY,Lazydays Holdings Inc. Common Stock,$24.08,0.08,0.333%,272820260.00,United States,,49771,Consumer Services,Other Specialty Stores
LGIH,LGI Homes Inc. Common Stock,$152.39,-0.66,-0.431%,3751457625.00,United States,2013,261824,Capital Goods,Homebuilding
LHDX,Lucira Health Inc. Common Stock,$9.74,0.41,4.394%,376926205.00,United States,2021,347149,Health Care,Precision Instruments
LILA,Liberty Latin America Ltd. Class A Common Stock,$13.62,0.32,2.406%,3174323399.00,United States,,218765,Consumer Services,Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,$13.73,0.30,2.234%,3199960372.00,United States,,620548,Consumer Services,Television Services
LJPC,La Jolla Pharmaceutical Company Common Stock,$4.00,-0.08,-1.961%,109952548.00,United States,1994,68064,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LKFN,Lakeland Financial Corporation Common Stock,$64.90,-0.89,-1.353%,1641976490.00,United States,,125144,Finance,Major Banks
LMRK,Landmark Infrastructure Partners LP Common Units,$16.50,0.01,0.061%,420568368.00,United States,2014,300959,Consumer Services,Real Estate
LSTR,Landstar System Inc. Common Stock,$161.31,-0.29,-0.179%,6174269137.00,United States,1993,213286,Transportation,Trucking Freight/Courier Services
MCBS,MetroCity Bankshares Inc. Common Stock,$19.94,0.04,0.201%,508460967.00,United States,2019,19350,Finance,Major Banks
MGEE,MGE Energy Inc,$78.91,-0.60,-0.755%,2853651527.00,United States,,55698,,
MGI,Moneygram International Inc. Common Stock,$8.90,0.35,4.094%,814402946.00,United States,,1434874,Miscellaneous,Business Services
MGLN,Magellan Health Inc. Common Stock,$94.61,-0.07,-0.074%,2484924554.00,United States,,242440,Health Care,Hospital/Nursing Management
MGPI,MGP Ingredients Inc.,$63.77,-0.17,-0.266%,1400527645.00,United States,,69534,,
