,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
645,0.0,0.22,2.67,0.09,3.65,20.79,0.64,22.17,0.16,Sell
646,0.06,0.24,1.12,0.0,-0.27,0.18,0.13,4.11,0.02,Sell
647,0.03,0.41,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
648,0.24,0.22,1.54,-0.4,-0.74,1.44,0.9,9.56,0.07,Sell
649,0.03,0.06,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
650,0.11,0.04,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
651,0.12,0.1,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
652,0.08,0.15,0.88,-0.09,0.15,4.63,0.45,1.64,0.15,Sell
653,0.22,0.04,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
654,0.25,0.2,2.98,-0.53,-0.11,-0.15,0.18,7.72,0.11,Sell
655,0.11,0.23,1.73,0.0,2.95,1.31,0.07,1.64,0.06,Sell
656,0.0,0.0,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
657,0.14,0.11,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
658,0.19,0.29,0.82,-0.68,2.95,1.59,0.01,0.57,0.06,Sell
659,0.06,0.07,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
660,0.48,0.29,0.93,1.53,0.71,9.8,0.11,4.89,0.03,Sell
661,0.15,0.11,1.32,-0.05,0.57,8.34,0.13,0.05,0.06,Sell
662,-0.02,-0.01,0.98,0.05,1.42,10.02,0.77,1.95,0.01,Sell
663,0.22,0.23,1.3,0.0,-0.46,0.39,0.07,0.26,0.03,Sell
664,0.09,0.19,1.62,-1.98,-0.39,-0.63,0.13,0.36,0.02,Sell
665,0.39,0.26,-0.11,-0.35,0.62,2.8,0.01,0.81,0.02,Sell
666,0.51,0.15,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
667,-0.06,0.29,0.93,0.0,-0.2,0.56,0.09,3.2,0.02,Sell
668,0.04,0.34,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Sell
669,0.15,0.23,1.99,-0.44,-0.1,0.08,0.08,1.34,0.02,Sell
679,0.09,0.19,1.73,-0.57,-2.03,11.06,0.69,6.26,0.06,Buy
683,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
688,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
691,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
701,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
704,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
713,0.09,0.19,0.85,-0.25,-0.51,4.72,0.73,5.98,0.01,Buy
722,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
