,Symbol,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Analyst
1,AAP,0.25,0.21,1.3,0.06,12.76,52.44,1.03,6.92,0.07,Buy
5,ABC,0.19,0.27,0.53,-0.02,10.57,0.18,0.66,2.17,0.01,Buy
12,AEE,0.18,0.04,0.28,0.16,4.03,36.38,0.77,2.47,0.01,Buy
17,AFL,0.03,0.29,1.02,0.25,5.2,50.2,0.61,4.67,0.02,Buy
21,AIG,0.17,0.34,1.34,0.09,5.38,76.73,0.92,1.99,0.01,Buy
25,ALB,0.19,0.37,1.59,0.22,5.39,52.72,0.85,1.79,0.02,Buy
27,ALL,-0.07,0.22,0.87,0.08,12.74,87.67,0.79,3.19,0.02,Buy
29,ALSN,0.1,0.3,1.16,0.16,5.01,6.83,1.06,2.77,0.04,Buy
31,AMCR,0.13,0.19,0.46,0.07,0.84,3.1,0.41,8.16,0.03,Buy
36,AN,0.1,0.32,1.51,0.05,17.87,35.96,0.87,3.38,0.13,Buy
37,AON,0.03,0.07,0.85,0.18,12.95,19.78,1.03,5.98,0.03,Buy
38,AOS,0.14,0.21,1.11,0.14,3.29,11.41,0.96,4.67,0.05,Buy
45,ARMK,0.08,0.19,1.92,-0.02,1.76,10.53,1.06,5.35,0.04,Buy
52,ATH,0.08,0.21,1.61,0.17,9.23,104.25,0.88,6.18,0.05,Buy
56,ATUS,0.03,-0.06,1.18,0.08,2.09,-2.84,0.5,4.39,0.23,Buy
60,AVB,0.02,0.06,0.94,0.48,3.7,78.26,0.92,3.25,0.02,Buy
62,AVY,0.04,0.02,1.03,0.09,9.55,20.54,0.9,1.99,0.01,Buy
63,AWK,0.09,0.33,0.27,0.19,4.61,36.86,0.87,1.84,0.01,Buy
65,AXP,0.13,0.1,1.23,0.19,9.65,31.4,0.87,2.64,0.01,Buy
68,AYI,0.11,0.43,1.61,0.09,12.23,57.59,1.04,4.65,0.05,Buy
69,AYX,-0.07,0.15,0.69,-0.11,0.06,6.42,0.78,4.42,0.05,Buy
72,BBY,0.55,0.2,1.55,0.05,9.29,17.53,0.83,3.56,0.04,Buy
77,BDX,0.19,0.28,0.76,0.1,12.4,84.03,0.88,1.51,0.01,Buy
85,BG,-0.02,0.42,0.58,0.04,7.71,45.82,0.89,3.37,0.03,Buy
89,BLL,-0.0,0.19,0.5,0.07,4.18,11.14,0.87,6.34,0.04,Buy
106,BXP,0.12,0.13,1.21,0.12,2.8,36.6,1.0,7.64,0.04,Buy
112,CAG,0.09,0.24,0.79,0.11,2.66,17.84,0.87,4.68,0.04,Buy
113,CAH,-0.06,0.0,1.04,0.0,6.19,6.16,0.89,1.77,0.03,Buy
117,CAT,0.13,0.15,0.93,0.1,10.55,30.75,0.7,1.63,0.01,Buy
119,CC,0.07,0.02,2.18,0.05,4.18,5.43,0.78,4.46,0.06,Buy
122,CCL,-0.09,0.19,2.23,0.0,-0.02,13.11,0.53,2.15,0.09,Buy
128,CHD,0.16,0.33,0.38,0.16,3.23,13.77,0.84,4.81,0.03,Buy
131,CIEN,0.15,0.34,0.86,0.14,3.15,18.85,0.96,3.93,0.03,Buy
135,CLF,0.28,0.35,2.22,0.12,5.37,7.99,0.73,2.52,0.13,Buy
137,CLR,0.19,0.19,3.2,0.1,4.66,18.22,0.14,5.87,0.17,Buy
139,CMA,0.01,0.16,1.52,0.34,5.54,56.55,0.81,2.22,0.03,Buy
140,CMI,0.07,0.34,1.05,0.1,18.74,54.77,0.84,2.34,0.02,Buy
145,CNP,0.33,0.49,0.97,0.12,1.4,12.03,0.92,2.37,0.03,Buy
148,COG,0.28,0.39,-0.05,0.17,2.44,5.75,0.5,4.3,0.11,Buy
149,COLD,0.56,0.3,0.25,-0.03,0.21,14.79,1.09,2.98,0.03,Buy
151,COTY,0.26,0.3,2.52,-0.04,0.33,3.73,0.28,1.8,0.04,Buy
153,CPA,0.05,0.14,1.56,-0.56,3.9,28.45,1.3,17.05,0.1,Buy
172,DCI,-0.08,0.23,1.38,0.1,2.91,9.1,0.83,1.37,0.01,Buy
174,DD,-0.11,0.16,1.27,0.28,4.94,51.23,0.74,2.74,0.02,Buy
178,DFS,-0.03,0.16,1.8,0.43,13.12,44.96,0.87,3.84,0.02,Buy
183,DOV,0.05,0.3,1.39,0.12,8.17,27.03,0.86,1.65,0.01,Buy
184,DOW,0.13,0.12,1.71,0.11,6.3,22.23,0.7,2.33,0.02,Buy
185,DPZ,-0.08,-0.06,0.52,0.11,15.44,-112.88,0.98,2.59,0.05,Buy
188,DTE,0.19,0.25,0.66,0.06,5.94,44.22,0.71,1.82,0.01,Buy
190,DUK,0.24,0.33,0.28,0.12,5.47,60.04,0.64,2.01,0.01,Buy
196,ECL,-0.03,0.31,1.02,0.09,5.99,24.21,0.87,2.22,0.01,Buy
199,EFX,0.06,-0.24,1.43,0.15,8.8,29.01,0.93,3.79,0.02,Buy
202,EIX,0.07,0.02,0.62,0.06,4.64,37.34,0.9,2.72,0.02,Buy
203,ELAN,0.0,0.23,0.83,-0.16,1.27,16.87,1.02,2.62,0.02,Buy
209,EPR,0.13,0.34,1.81,-0.22,1.65,35.47,0.82,4.28,0.04,Buy
212,ES,0.2,0.17,0.37,0.13,4.09,41.65,0.8,2.49,0.01,Buy
215,ESS,0.39,-0.01,0.74,0.27,5.06,91.59,0.98,3.81,0.02,Buy
218,EVRG,0.07,0.13,0.42,0.15,3.52,39.19,0.88,1.6,0.01,Buy
225,FCX,0.05,0.28,2.09,0.18,3.34,9.0,0.78,1.17,0.02,Buy
226,FE,-0.0,0.02,0.27,0.1,2.59,13.65,0.84,5.14,0.03,Buy
236,FRC,0.21,-0.01,1.1,0.29,8.17,66.44,0.97,3.36,0.01,Buy
238,FRT,0.05,0.15,1.15,0.18,2.07,29.96,0.97,7.43,0.05,Buy
244,FTV,0.05,0.24,1.2,0.34,3.01,25.68,0.93,2.77,0.02,Buy
248,GE,0.17,0.5,1.05,-0.0,4.03,34.12,0.65,1.4,0.01,Buy
258,GIS,0.18,0.42,0.5,0.13,3.92,15.99,0.78,4.23,0.03,Buy
265,GPC,-0.04,0.16,1.1,0.04,7.17,22.34,0.8,2.79,0.01,Buy
269,GPS,0.2,0.21,1.64,0.05,2.48,8.03,0.57,3.25,0.14,Buy
274,GWW,0.07,0.03,1.23,0.07,22.57,35.87,0.73,3.46,0.02,Buy
278,HFC,0.13,-0.1,1.7,0.01,3.22,33.89,0.88,3.55,0.04,Buy
280,HII,0.04,0.4,0.99,0.08,14.91,51.42,0.87,3.07,0.02,Buy
282,HLT,0.06,-0.05,1.23,-0.17,4.22,-5.08,0.99,3.7,0.03,Buy
284,HOG,0.23,0.01,1.49,0.11,3.48,15.17,0.98,11.21,0.11,Buy
287,HPQ,0.16,0.29,1.04,0.07,4.02,-3.42,0.84,6.09,0.05,Buy
289,HRB,-0.39,0.28,0.86,0.19,2.79,2.13,0.9,9.41,0.09,Buy
291,HSY,0.05,0.21,0.37,0.17,7.44,10.99,0.77,3.29,0.02,Buy
292,HTA,0.42,0.03,0.6,0.11,0.44,14.17,1.0,5.36,0.09,Buy
299,IBM,0.09,0.34,1.18,0.06,11.37,24.78,0.58,6.03,0.03,Buy
300,IDA,-0.01,0.02,0.51,0.18,5.0,51.6,0.81,6.11,0.03,Buy
308,IRM,0.05,0.13,0.85,0.14,1.64,3.96,0.81,19.26,0.14,Buy
309,IT,0.09,0.16,1.57,0.13,6.69,6.27,0.94,2.38,0.02,Buy
311,ITW,-0.06,0.33,1.12,0.19,9.31,11.18,0.8,4.13,0.01,Buy
313,IVZ,0.15,0.13,1.25,0.21,2.7,32.55,0.83,1.22,0.02,Buy
317,JLL,0.12,0.03,1.34,0.07,16.1,113.58,1.0,5.27,0.03,Buy
318,JNPR,-0.09,0.27,0.84,0.03,1.96,13.53,0.97,6.45,0.06,Buy
319,K,-0.25,0.2,0.62,0.09,4.18,9.86,0.88,8.73,0.06,Buy
323,KEY,0.15,0.38,1.46,0.34,1.99,16.77,0.84,2.98,0.03,Buy
325,KMPR,-0.2,0.14,0.74,0.05,5.35,67.67,0.74,2.69,0.01,Buy
328,KRC,0.02,-0.01,0.84,0.72,2.1,46.77,1.07,7.72,0.05,Buy
329,KSS,0.33,0.2,2.22,0.04,5.91,34.34,0.97,4.82,0.12,Buy
330,KSU,-0.09,0.24,1.07,0.03,9.74,42.87,0.83,3.4,0.03,Buy
336,LEG,0.06,0.2,1.48,0.09,3.13,11.51,0.76,9.61,0.06,Buy
337,LEN,0.12,0.2,1.52,0.16,14.45,66.73,0.96,3.02,0.03,Buy
341,LNC,0.19,0.41,2.15,0.07,11.66,115.0,0.79,3.15,0.02,Buy
345,LVS,-0.1,0.18,1.48,-0.23,1.07,2.75,0.38,1.03,0.04,Buy
347,LYB,-0.04,0.44,1.52,0.12,15.41,31.46,0.71,2.53,0.02,Buy
349,LYV,0.1,0.11,1.28,-1.15,0.62,-4.25,0.74,5.87,0.09,Buy
355,MAS,0.07,0.17,1.31,0.07,4.08,-0.62,0.98,3.94,0.04,Buy
365,MGM,0.22,0.36,2.39,-0.19,0.75,12.7,0.65,1.59,0.04,Buy
367,MHK,0.11,0.15,1.55,0.09,16.25,127.01,0.79,2.51,0.03,Buy
369,MLM,-0.14,0.17,0.67,0.17,14.22,98.17,0.94,1.56,0.01,Buy
371,MMC,-0.01,0.17,0.93,0.14,6.7,19.26,0.92,2.79,0.01,Buy
372,MMM,0.01,0.06,0.98,0.17,10.48,25.09,0.69,3.47,0.02,Buy
378,MRK,0.09,0.29,0.42,0.11,6.94,13.14,0.75,1.06,0.01,Buy
380,MSCI,0.09,0.15,0.96,0.36,11.07,-4.46,0.93,2.68,0.01,Buy
381,MSM,0.04,0.31,1.01,0.07,5.9,20.75,0.94,2.66,0.03,Buy
383,MTB,-0.07,0.13,1.12,0.31,11.73,122.6,0.87,5.18,0.04,Buy
385,MTN,0.2,-0.15,1.24,0.07,9.8,39.45,0.97,2.33,0.03,Buy
394,NCLH,0.01,0.29,2.72,0.0,0.4,10.05,0.56,3.88,0.15,Buy
397,NEWR,0.0,0.24,0.9,-0.35,-0.08,5.41,0.88,11.19,0.09,Buy
398,NFG,0.4,0.31,0.7,0.08,4.91,22.06,0.75,5.93,0.03,Buy
405,NSC,0.03,0.29,1.28,0.27,13.68,57.07,0.77,2.3,0.01,Buy
406,NUE,0.17,0.45,1.45,0.16,16.65,46.97,0.84,2.02,0.03,Buy
409,NVR,-0.07,0.34,1.04,0.13,403.42,858.9,0.86,2.18,0.01,Buy
417,NYCB,0.03,0.49,1.01,0.48,1.43,13.9,0.64,8.51,0.11,Buy
420,OGE,0.48,0.22,0.68,0.12,2.15,18.19,0.65,1.95,0.01,Buy
422,OHI,0.01,0.2,0.97,0.23,1.73,16.89,0.72,4.17,0.06,Buy
426,OMC,0.14,0.22,0.92,0.1,6.45,15.43,0.94,9.03,0.08,Buy
430,ORCL,0.2,0.07,0.78,0.34,5.16,-0.56,0.47,2.31,0.02,Buy
431,ORI,0.09,0.43,0.88,0.18,2.37,22.6,0.76,1.61,0.01,Buy
434,OXY,0.09,0.09,2.34,-0.24,2.2,9.08,0.7,1.78,0.06,Buy
442,PCG,0.08,0.44,1.32,0.04,1.11,10.85,0.75,3.9,0.06,Buy
445,PFE,0.21,0.34,0.69,0.24,32.87,12.51,0.68,2.21,0.01,Buy
447,PG,0.08,0.28,0.42,0.18,6.37,18.7,0.66,2.02,0.01,Buy
448,PGR,0.06,0.09,0.49,0.09,4.91,31.72,0.85,4.12,0.02,Buy
453,PINS,0.03,0.32,1.25,0.07,1.39,3.9,0.78,2.59,0.03,Buy
454,PK,0.0,0.34,2.21,-1.18,0.0,19.43,0.97,4.74,0.07,Buy
455,PKI,0.06,0.36,1.11,0.24,6.34,37.85,0.97,3.83,0.03,Buy
457,PLNT,0.37,0.14,1.22,0.06,1.61,-8.18,1.04,4.73,0.06,Buy
459,PNC,0.06,0.21,1.34,0.31,13.93,133.0,0.84,3.97,0.02,Buy
460,PNR,0.04,0.02,1.14,0.14,3.72,14.13,0.95,5.52,0.04,Buy
462,PPL,0.12,0.21,0.77,-0.16,1.63,19.43,0.66,2.02,0.01,Buy
464,PRGO,-0.11,0.12,1.05,-0.07,2.88,41.25,0.88,2.75,0.05,Buy
468,PSA,-0.02,0.27,0.17,0.48,8.72,27.86,0.81,3.4,0.02,Buy
470,PSX,0.01,0.08,1.64,-0.02,6.1,41.44,0.71,2.29,0.02,Buy
476,R,0.18,0.06,1.9,0.03,8.78,44.97,0.91,3.02,0.03,Buy
481,RCL,0.07,-0.03,2.7,0.0,0.68,30.95,0.74,4.07,0.06,Buy
484,RF,0.03,0.09,1.48,0.38,2.03,17.75,0.77,2.13,0.02,Buy
488,RHI,0.27,0.17,1.57,0.09,5.26,11.43,0.92,4.72,0.03,Buy
491,RL,0.05,0.32,1.49,0.03,8.01,36.92,0.99,3.91,0.06,Buy
496,RMD,0.04,0.12,0.34,0.15,6.7,19.81,0.68,1.58,0.01,Buy
498,ROK,0.04,0.29,1.4,0.23,10.24,19.56,0.83,6.08,0.03,Buy
499,ROL,-0.05,0.31,0.58,0.15,0.74,2.24,0.41,7.82,0.04,Buy
500,RPM,0.08,0.31,0.94,0.07,4.53,13.79,0.79,2.61,0.01,Buy
503,RSG,0.07,0.15,0.72,0.11,4.45,27.54,0.94,1.67,0.01,Buy
505,SAM,-0.05,0.25,0.74,0.05,17.21,84.69,0.88,3.19,0.14,Buy
513,SF,0.13,0.02,1.48,0.17,6.44,37.89,0.86,3.5,0.02,Buy
523,SLG,-0.02,0.21,1.55,0.81,-0.43,72.48,0.91,6.95,0.12,Buy
526,SNA,0.29,0.13,1.28,0.18,15.03,75.33,0.91,9.78,0.09,Buy
530,SO,0.18,0.29,0.47,0.14,3.54,26.63,0.61,2.69,0.01,Buy
534,SPG,0.28,0.26,1.52,0.32,5.18,9.71,0.9,6.95,0.06,Buy
537,SRE,0.18,0.25,0.66,0.19,8.43,76.18,0.87,2.22,0.01,Buy
544,STOR,0.05,0.24,1.26,0.31,1.05,18.87,0.87,4.93,0.03,Buy
548,SWI,-0.04,0.01,0.91,0.12,1.22,18.81,0.98,7.59,0.13,Buy
552,T,0.12,0.25,0.73,0.01,3.2,22.94,0.54,2.52,0.02,Buy
554,TAP,0.01,0.26,1.11,-0.06,4.24,59.87,0.92,9.33,0.1,Buy
560,TFC,0.05,0.2,1.28,0.27,4.85,46.62,0.73,2.25,0.01,Buy
564,THO,0.28,0.28,2.24,0.05,13.2,52.77,0.93,5.22,0.09,Buy
570,TOL,0.0,0.23,1.58,0.08,8.93,41.34,0.9,4.85,0.07,Buy
572,TPL,0.15,0.36,2.28,0.6,45.9,70.56,0.57,5.77,0.04,Buy
573,TREX,0.3,0.02,1.51,0.19,2.44,5.62,0.97,9.16,0.06,Buy
577,TRV,0.23,0.08,0.77,0.11,12.61,115.75,0.86,3.05,0.02,Buy
580,TSN,0.13,0.23,0.8,0.05,6.97,45.39,0.84,2.71,0.02,Buy
581,TT,0.33,0.4,1.26,0.1,7.0,27.11,0.85,1.36,0.01,Buy
586,TWTR,0.01,-0.01,0.82,-0.04,1.02,8.99,0.81,2.51,0.04,Buy
588,UAA,0.13,0.31,1.32,0.07,0.6,3.94,0.86,2.15,0.06,Buy
590,UHS,-0.12,-0.07,1.23,0.09,12.33,76.27,0.97,2.17,0.02,Buy
591,UI,0.01,0.18,1.38,0.32,11.73,0.04,0.07,5.5,0.05,Buy
593,UNM,-0.04,0.33,1.68,0.05,5.3,53.57,0.88,0.99,0.03,Buy
594,UPS,0.22,0.39,1.06,0.07,12.0,13.76,0.7,2.82,0.01,Buy
595,URI,0.31,0.44,1.97,0.11,25.04,70.37,0.93,2.75,0.03,Buy
596,USB,-0.1,0.33,1.11,0.33,4.3,32.22,0.76,1.86,0.01,Buy
603,VMC,0.0,0.2,0.61,0.14,6.11,47.43,0.9,2.01,0.02,Buy
604,VMW,0.12,0.28,0.89,0.17,7.45,22.96,0.72,12.46,0.2,Buy
606,VOYA,0.12,0.29,1.43,0.33,6.72,73.72,1.18,12.65,0.15,Buy
610,VTR,0.0,0.39,1.26,0.04,0.45,26.34,0.95,4.28,0.03,Buy
612,W,-0.06,0.03,3.07,0.02,4.57,-14.89,1.14,13.01,0.27,Buy
616,WEC,-0.03,0.18,0.21,0.16,4.31,34.34,0.74,2.37,0.01,Buy
617,WEX,0.03,0.17,1.92,-0.2,10.75,40.07,1.03,4.19,0.03,Buy
618,WHR,0.05,0.3,1.81,0.09,25.11,81.38,0.96,10.12,0.12,Buy
619,WM,-0.27,0.24,0.82,0.1,5.54,17.47,0.82,2.98,0.01,Buy
622,WRB,0.09,-0.05,0.83,0.11,4.94,37.08,0.71,2.08,0.01,Buy
623,WSM,0.36,0.3,1.65,0.13,12.79,20.51,0.95,6.58,0.11,Buy
628,WU,0.07,0.07,1.01,0.16,2.28,0.7,1.04,7.14,0.11,Buy
629,X,0.33,0.44,2.15,0.07,7.92,21.66,0.7,2.31,0.23,Buy
631,XOM,0.17,0.25,1.33,-0.06,5.52,37.46,0.53,1.64,0.01,Buy
632,XYL,-0.12,0.1,1.06,0.07,3.15,16.88,0.92,5.28,0.03,Buy
635,YUM,0.1,0.18,1.04,0.21,4.97,-26.67,0.81,2.15,0.01,Buy
636,YUMC,-0.09,0.36,0.83,0.1,17.75,15.62,0.9,3.48,0.03,Buy
639,ACST,0.23,0.2,1.51,0.0,-0.35,2.05,0.01,1.74,0.02,Strong Sell
642,CCLP,-0.02,0.38,1.8,-0.22,-0.99,-1.06,0.25,3.91,0.01,Strong Sell
643,CPIX,0.0,0.02,0.24,0.0,0.14,3.21,0.2,4.05,0.01,Strong Sell
645,EBIX,0.0,0.22,2.67,0.09,3.65,20.79,0.64,22.17,0.16,Strong Sell
646,EVOK,0.06,0.24,1.12,0.0,-0.27,0.18,0.13,4.11,0.02,Strong Sell
648,FLDM,0.24,0.22,1.54,-0.4,-0.74,1.44,0.9,9.56,0.07,Strong Sell
652,JCS,0.08,0.15,0.88,-0.09,0.15,4.63,0.45,1.64,0.15,Strong Sell
654,MARK,0.25,0.2,2.98,-0.53,-0.11,-0.15,0.18,7.72,0.11,Strong Sell
660,PSEC,0.48,0.29,0.93,1.53,0.71,9.8,0.11,4.89,0.03,Strong Sell
662,RGP,-0.02,-0.01,0.98,0.05,1.42,10.02,0.77,1.95,0.01,Strong Sell
663,SNGX,0.22,0.23,1.3,0.0,-0.46,0.39,0.07,0.26,0.03,Strong Sell
665,TOPS,0.39,0.26,-0.11,-0.35,0.62,2.8,0.01,0.81,0.02,Strong Sell
667,TYME,-0.06,0.29,0.93,0.0,-0.2,0.56,0.09,3.2,0.02,Strong Sell
669,WTER,0.15,0.23,1.99,-0.44,-0.1,0.08,0.08,1.34,0.02,Strong Sell
671,AAPL,0.06,0.28,1.22,0.25,5.98,3.88,0.59,1.25,0.01,Strong Buy
676,ABMD,-0.06,0.13,1.35,0.17,5.11,28.81,0.94,4.04,0.02,Strong Buy
692,ADBE,0.15,0.18,1.03,0.39,14.24,30.28,0.86,1.64,0.01,Strong Buy
694,ADI,0.08,0.2,1.17,0.26,7.32,33.31,0.72,1.89,0.02,Strong Buy
699,ADPT,0.05,0.09,0.3,-1.28,-1.63,4.93,0.85,7.49,0.04,Strong Buy
700,ADSK,0.16,0.41,1.34,0.33,6.96,6.04,0.92,2.0,0.01,Strong Buy
706,AEP,0.08,0.33,0.31,0.15,4.97,42.74,0.75,2.18,0.01,Strong Buy
717,AGNC,-0.0,0.34,1.01,0.94,2.49,17.51,0.54,2.17,0.02,Strong Buy
725,AKAM,0.08,0.36,0.47,0.18,6.07,27.46,0.95,7.02,0.07,Strong Buy
735,ALGN,0.09,0.41,1.68,0.2,13.4,42.87,0.87,2.33,0.02,Strong Buy
745,ALNY,0.0,0.25,1.21,-1.29,-4.06,7.2,0.96,7.19,0.04,Strong Buy
754,AMAT,0.21,0.33,1.43,0.25,7.97,13.36,0.81,1.83,0.01,Strong Buy
756,AMD,0.2,0.68,2.0,0.27,3.28,5.88,0.71,1.66,0.06,Strong Buy
757,AMED,0.02,0.15,0.6,0.11,6.45,26.84,0.91,1.99,0.02,Strong Buy
777,APA,0.11,0.38,4.78,0.12,4.33,-2.55,0.86,1.11,0.05,Strong Buy
839,ATVI,-0.02,-0.05,0.62,0.29,4.35,20.94,0.89,1.78,0.02,Strong Buy
849,AVGO,0.21,0.18,0.94,0.23,31.06,59.08,0.82,2.7,0.02,Strong Buy
864,AXON,0.25,0.19,0.49,-0.09,1.86,16.71,0.78,3.35,0.02,Strong Buy
914,BMRN,0.1,0.22,0.55,0.44,0.89,23.14,0.97,9.46,0.08,Strong Buy
927,BRKS,0.18,0.26,1.78,0.11,3.04,17.86,0.97,1.78,0.02,Strong Buy
973,CDNS,0.27,0.26,1.05,0.23,3.55,9.49,0.88,2.48,0.01,Strong Buy
986,CERN,0.16,0.07,0.74,0.13,3.58,13.45,0.9,5.27,0.05,Strong Buy
992,CG,0.08,0.28,1.37,0.34,3.63,12.23,0.4,6.44,0.07,Strong Buy
998,CHDN,0.11,0.19,1.25,0.14,8.81,8.36,0.73,4.29,0.03,Strong Buy
1002,CHTR,0.09,0.19,1.05,0.08,29.62,105.22,0.72,8.25,0.08,Strong Buy
1024,CMCSA,0.03,0.05,1.05,0.11,3.73,20.68,0.85,3.8,0.02,Strong Buy
1045,COMM,-0.03,-0.01,1.83,-0.04,2.07,0.34,0.93,2.07,0.04,Strong Buy
1046,CONE,0.01,0.18,0.42,0.01,0.23,21.42,1.1,4.98,0.07,Strong Buy
1047,COST,0.12,0.3,0.64,0.03,13.28,39.75,0.69,2.4,0.01,Strong Buy
1050,CPRT,0.19,0.33,1.03,0.35,4.46,14.89,0.84,1.89,0.01,Strong Buy
1065,CRUS,-0.03,0.24,0.87,0.15,5.53,24.45,0.88,2.43,0.02,Strong Buy
1067,CRWD,0.14,0.32,1.33,-0.16,0.78,3.96,0.72,4.04,0.06,Strong Buy
1069,CSCO,0.17,0.31,0.92,0.21,3.67,9.79,0.75,2.18,0.01,Strong Buy
1070,CSGP,0.13,0.51,0.86,0.13,1.36,14.19,0.97,3.14,0.01,Strong Buy
1077,CSX,0.25,0.28,1.17,0.3,1.78,5.93,0.76,2.18,0.01,Strong Buy
1078,CTAS,0.26,0.09,1.46,0.16,11.91,32.03,0.66,2.49,0.01,Strong Buy
1085,CTSH,0.05,0.13,1.12,0.1,4.46,21.34,0.93,2.67,0.01,Strong Buy
1108,CZR,0.4,0.18,3.06,-0.26,1.37,24.1,0.95,3.52,0.06,Strong Buy
1113,DBX,-0.01,0.25,0.92,-0.09,1.56,-0.24,0.87,6.91,0.07,Strong Buy
1119,DDOG,0.14,0.22,1.01,-0.07,0.4,2.95,0.78,5.75,0.06,Strong Buy
1133,DOCU,0.21,0.51,0.91,-0.09,2.2,1.08,0.77,2.97,0.03,Strong Buy
1152,EA,0.08,-0.18,0.89,0.12,7.42,27.08,0.94,1.18,0.02,Strong Buy
1161,EEFT,0.14,0.05,1.6,0.05,7.62,27.7,0.98,4.82,0.02,Strong Buy
1178,ENPH,0.18,0.64,1.18,0.13,2.93,4.8,0.73,2.42,0.04,Strong Buy
1189,EQIX,0.22,0.17,0.33,0.05,7.85,118.62,0.98,2.16,0.02,Strong Buy
1199,ETSY,0.04,0.05,1.61,0.22,3.54,4.2,0.91,5.59,0.09,Strong Buy
1213,EXAS,-0.0,0.1,1.31,-0.5,-2.76,20.71,0.9,8.66,0.07,Strong Buy
1214,EXC,0.18,0.23,0.43,0.03,3.32,32.87,0.82,2.08,0.01,Strong Buy
1215,EXEL,0.12,0.15,1.0,0.08,0.85,6.49,0.87,6.39,0.04,Strong Buy
1221,FANG,0.24,0.32,2.57,-0.32,15.89,60.35,0.89,1.78,0.03,Strong Buy
1225,FB,-0.0,0.2,1.32,0.36,14.57,47.75,0.81,1.1,0.01,Strong Buy
1243,FISV,0.05,0.3,0.9,0.08,6.51,47.18,0.92,3.18,0.02,Strong Buy
1244,FITB,0.13,0.29,1.49,0.33,3.31,29.59,0.84,1.54,0.01,Strong Buy
1245,FIVE,0.11,0.35,1.32,0.1,5.61,17.89,1.0,2.75,0.04,Strong Buy
1261,FOX,0.18,0.25,1.15,0.17,2.35,19.3,0.56,2.1,0.01,Strong Buy
1270,FRPT,-0.01,0.2,0.63,-0.05,0.61,16.6,0.98,4.45,0.04,Strong Buy
1304,GH,0.1,0.13,0.53,-1.17,-3.32,7.78,0.91,3.95,0.04,Strong Buy
1312,GLPI,-0.07,0.5,1.02,0.46,2.48,11.53,0.91,3.27,0.01,Strong Buy
1324,GNTX,-0.06,0.44,0.96,0.23,2.16,7.88,0.87,2.95,0.02,Strong Buy
1328,GOOGL,0.09,0.36,1.03,0.3,109.45,367.95,0.81,1.79,0.01,Strong Buy
1348,HAIN,0.09,0.52,0.63,0.04,1.81,15.37,1.02,5.99,0.08,Strong Buy
1353,HBAN,0.1,0.38,1.32,0.24,1.42,11.96,0.79,1.97,0.02,Strong Buy
1375,HOLX,0.06,0.13,1.18,0.36,3.69,15.31,0.97,2.71,0.03,Strong Buy
1377,HON,-0.07,0.34,1.19,0.16,9.04,25.92,0.77,2.54,0.01,Strong Buy
1403,HZNP,0.14,0.23,1.04,0.2,6.01,18.05,0.92,2.92,0.02,Strong Buy
1407,IBKR,0.17,-0.05,0.66,0.11,3.1,24.22,0.86,3.49,0.03,Strong Buy
1421,IDXX,0.14,0.55,0.95,0.24,9.38,8.78,0.88,1.63,0.01,Strong Buy
1461,INTU,0.1,0.42,1.03,0.21,12.87,36.12,0.87,1.44,0.01,Strong Buy
1466,IOVA,0.06,0.18,0.83,0.0,-2.25,4.81,1.06,11.59,0.12,Strong Buy
1467,IPGP,0.0,0.11,1.33,0.16,6.14,50.57,0.67,5.77,0.05,Strong Buy
1487,JAZZ,0.07,0.69,0.95,0.02,17.44,67.6,0.97,5.3,0.07,Strong Buy
1488,JBLU,0.05,0.14,1.57,-0.28,0.74,11.99,0.78,1.61,0.04,Strong Buy
1503,KDP,0.14,0.51,0.63,0.13,1.72,17.1,0.45,3.07,0.03,Strong Buy
1510,KLAC,0.06,0.43,1.19,0.37,20.7,25.35,0.9,2.44,0.02,Strong Buy
1541,LBRDK,0.53,0.32,1.04,0.83,11.44,64.19,0.94,7.24,0.04,Strong Buy
1559,LITE,0.08,0.21,0.93,0.23,6.67,27.02,0.96,11.57,0.09,Strong Buy
1562,LKQ,0.06,0.16,1.64,0.07,3.84,19.84,1.0,3.04,0.02,Strong Buy
1573,LPLA,0.2,0.07,1.17,0.07,9.12,19.38,0.96,2.17,0.02,Strong Buy
1579,LRCX,0.11,0.3,1.26,0.27,36.27,41.33,0.86,1.83,0.02,Strong Buy
1587,LULU,0.23,0.27,1.3,0.15,9.03,20.57,0.87,2.23,0.02,Strong Buy
1594,LYFT,-0.1,-0.21,2.06,-0.65,0.7,4.07,0.87,6.37,0.1,Strong Buy
1600,MASI,0.0,0.17,0.78,0.19,4.3,26.62,0.85,6.78,0.04,Strong Buy
1602,MAT,0.15,0.13,1.52,0.16,1.37,3.8,1.0,8.52,0.1,Strong Buy
1611,MCHP,0.13,0.39,1.64,0.08,4.63,10.07,1.79,3.05,0.03,Strong Buy
1615,MDB,0.26,0.16,0.63,-0.41,-0.74,10.19,0.9,6.23,0.09,Strong Buy
1617,MDLZ,-0.05,0.07,0.69,0.15,3.12,19.68,0.78,1.67,0.01,Strong Buy
1642,MKSI,0.11,0.3,1.48,0.18,12.01,49.16,0.97,2.79,0.02,Strong Buy
1652,MNST,-0.14,0.45,1.12,0.3,2.99,11.17,0.65,2.35,0.01,Strong Buy
