,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Prediction
32,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
33,0.09,0.19,4.79,-0.42,1.75,-2.3,0.34,0.61,0.09,Buy
34,0.09,0.19,1.26,0.0,0.91,2.32,0.69,3.64,0.04,Buy
35,0.09,0.19,1.73,-0.79,-0.7,4.84,0.5,6.49,0.07,Buy
36,0.1,0.32,1.51,0.05,17.87,35.96,0.87,3.38,0.13,Buy
37,0.03,0.07,0.85,0.18,12.95,19.78,1.03,5.98,0.03,Buy
38,0.14,0.21,1.11,0.14,3.29,11.41,0.96,4.67,0.05,Buy
39,0.09,0.19,1.19,0.03,-2.06,26.52,0.51,2.35,0.02,Buy
40,0.09,0.19,0.2,0.33,0.8,8.08,0.52,9.36,0.06,Buy
41,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
42,0.09,0.19,0.95,0.02,30.75,27.09,1.19,7.89,0.26,Buy
43,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
44,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
45,0.08,0.19,1.92,-0.02,1.76,10.53,1.06,5.35,0.04,Buy
46,0.09,0.19,1.73,-0.07,2.86,14.67,0.99,6.57,0.05,Buy
47,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
48,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
49,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
50,0.09,0.19,1.07,0.15,1.52,15.02,0.71,7.89,0.07,Buy
51,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
52,0.08,0.21,1.61,0.17,9.23,104.25,0.88,6.18,0.05,Buy
53,0.09,0.19,0.42,0.4,3.94,174.32,0.58,3.99,0.06,Buy
54,-0.08,0.09,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
55,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
56,0.03,-0.06,1.18,0.08,2.09,-2.84,0.5,4.39,0.23,Buy
57,0.09,0.19,0.13,0.2,2.09,9.14,0.32,2.51,0.06,Buy
58,0.09,0.19,1.81,-0.18,0.88,4.44,0.55,12.17,0.06,Buy
59,0.09,0.19,0.63,0.11,2.17,29.71,0.85,3.45,0.03,Buy
60,0.02,0.06,0.94,0.48,3.7,78.26,0.92,3.25,0.02,Buy
61,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
62,0.04,0.02,1.03,0.09,9.55,20.54,0.9,1.99,0.01,Buy
63,0.09,0.33,0.27,0.19,4.61,36.86,0.87,1.84,0.01,Buy
64,0.09,0.19,2.42,0.04,1.97,3.87,0.94,3.31,0.06,Buy
65,0.13,0.1,1.23,0.19,9.65,31.4,0.87,2.64,0.01,Buy
66,-0.11,0.04,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
67,0.14,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
68,0.11,0.43,1.61,0.09,12.23,57.59,1.04,4.65,0.05,Buy
69,-0.07,0.15,0.69,-0.11,0.06,6.42,0.78,4.42,0.05,Buy
70,0.09,0.19,1.26,0.07,2.46,27.5,0.89,3.48,0.02,Buy
71,0.09,0.19,0.94,0.11,3.19,21.76,0.02,1.29,0.06,Buy
72,0.55,0.2,1.55,0.05,9.29,17.53,0.83,3.56,0.04,Buy
73,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
74,0.09,0.19,0.34,0.13,2.74,20.34,0.48,4.36,0.06,Buy
75,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
76,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
77,0.19,0.28,0.76,0.1,12.4,84.03,0.88,1.51,0.01,Buy
78,0.09,0.19,3.44,-0.14,0.2,-0.12,0.74,6.38,0.13,Buy
79,0.09,0.19,1.73,0.04,0.76,58.27,0.32,1.93,0.06,Buy
80,0.09,0.19,0.67,-0.11,0.19,17.82,0.64,2.09,0.0,Buy
81,0.31,0.14,1.73,-0.69,-0.17,4.31,0.78,2.38,0.06,Buy
82,0.09,0.19,0.38,-0.07,-0.46,1.86,0.26,2.09,0.06,Buy
83,0.49,0.18,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
84,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
85,-0.02,0.42,0.58,0.04,7.71,45.82,0.89,3.37,0.03,Buy
86,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
87,0.09,0.19,1.82,-0.13,-0.99,3.31,0.93,7.11,0.06,Buy
88,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
89,-0.0,0.19,0.5,0.07,4.18,11.14,0.87,6.34,0.04,Buy
90,0.09,0.19,2.45,-0.09,0.43,4.97,0.74,4.48,0.05,Buy
91,0.09,0.19,0.83,0.32,6.4,56.97,0.55,2.65,0.06,Buy
92,0.09,0.19,1.3,-0.04,1.02,-1.0,0.83,3.21,0.08,Buy
93,0.09,0.19,0.83,0.04,3.79,23.32,0.09,1.02,0.06,Buy
94,0.04,0.46,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
95,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
96,0.09,0.19,1.73,0.73,0.99,8.74,0.5,5.0,0.03,Buy
97,0.12,0.11,1.73,0.2,2.27,14.54,0.73,1.29,0.02,Buy
98,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
99,0.03,-0.06,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
100,0.09,0.19,0.95,0.3,0.86,28.41,0.07,2.41,0.06,Buy
101,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
102,0.09,0.19,0.73,0.24,3.97,27.5,0.06,0.7,0.06,Buy
103,0.09,0.19,1.42,0.11,3.29,34.65,0.04,2.0,0.06,Buy
104,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
105,0.09,0.19,1.37,0.75,2.51,26.79,0.54,4.44,0.04,Buy
106,0.12,0.13,1.21,0.12,2.8,36.6,1.0,7.64,0.04,Buy
107,0.09,0.19,1.38,0.28,1.6,21.17,0.44,2.11,0.01,Buy
108,0.09,0.19,2.07,0.04,3.41,22.4,0.82,5.47,0.06,Buy
109,0.0,0.08,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
110,0.09,0.19,1.82,0.46,1.77,17.83,0.93,3.37,0.03,Buy
111,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
112,0.09,0.24,0.79,0.11,2.66,17.84,0.87,4.68,0.04,Buy
113,-0.06,0.0,1.04,0.0,6.19,6.16,0.89,1.77,0.03,Buy
114,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
115,0.09,0.19,1.47,0.36,0.95,8.4,0.8,4.77,0.05,Buy
116,-0.02,0.18,1.73,0.13,2.44,7.79,0.86,1.85,0.01,Buy
117,0.13,0.15,0.93,0.1,10.55,30.75,0.7,1.63,0.01,Buy
118,0.09,0.19,0.94,0.04,0.19,47.18,0.06,2.2,0.06,Buy
119,0.07,0.02,2.18,0.05,4.18,5.43,0.78,4.46,0.06,Buy
120,0.09,0.19,1.73,0.01,0.25,843.33,0.96,3.69,0.06,Buy
121,0.09,0.19,0.8,-0.01,0.15,12.42,0.65,1.24,0.06,Buy
122,-0.09,0.19,2.23,0.0,-0.02,13.11,0.53,2.15,0.09,Buy
123,-0.09,0.15,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
124,0.09,0.19,1.77,0.08,0.32,3.38,0.72,1.56,0.03,Buy
125,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
126,0.09,0.19,3.39,-0.03,1.85,8.92,0.45,4.74,0.04,Buy
127,0.09,0.19,0.87,-0.2,1.18,5.94,0.65,16.21,0.06,Buy
128,0.16,0.33,0.38,0.16,3.23,13.77,0.84,4.81,0.03,Buy
129,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
130,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
131,0.15,0.34,0.86,0.14,3.15,18.85,0.96,3.93,0.03,Buy
132,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
133,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
134,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
135,0.28,0.35,2.22,0.12,5.37,7.99,0.73,2.52,0.13,Buy
136,0.09,0.19,0.99,-0.05,-0.1,0.78,0.48,2.07,0.01,Buy
137,0.19,0.19,3.2,0.1,4.66,18.22,0.14,5.87,0.17,Buy
138,0.09,0.19,1.26,0.0,3.19,29.25,0.91,3.82,0.04,Buy
139,0.01,0.16,1.52,0.34,5.54,56.55,0.81,2.22,0.03,Buy
140,0.07,0.34,1.05,0.1,18.74,54.77,0.84,2.34,0.02,Buy
141,0.09,0.19,1.6,-0.09,2.21,5.48,0.9,3.89,0.04,Buy
142,0.09,0.19,0.61,0.33,5.29,30.62,0.8,2.07,0.06,Buy
143,0.09,0.19,2.47,-1.36,0.7,3.3,0.94,7.28,0.36,Buy
144,0.09,0.19,1.73,0.02,0.96,6.92,0.8,2.43,0.04,Buy
145,0.33,0.49,0.97,0.12,1.4,12.03,0.92,2.37,0.03,Buy
146,0.09,0.19,1.42,-0.19,1.51,18.92,0.93,6.7,0.16,Buy
147,0.09,0.19,-0.73,0.02,3.59,-39.83,0.91,0.47,0.06,Buy
148,0.28,0.39,-0.05,0.17,2.44,5.75,0.5,4.3,0.11,Buy
149,0.56,0.3,0.25,-0.03,0.21,14.79,1.09,2.98,0.03,Buy
150,0.09,0.19,1.73,-0.05,-0.65,2.73,0.6,2.5,0.02,Buy
151,0.26,0.3,2.52,-0.04,0.33,3.73,0.28,1.8,0.04,Buy
152,0.09,0.19,0.66,0.39,3.46,14.2,0.82,10.86,0.09,Buy
153,0.05,0.14,1.56,-0.56,3.9,28.45,1.3,17.05,0.1,Buy
154,0.09,0.19,3.17,-0.92,12.94,16.36,0.83,3.5,0.2,Buy
155,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
156,0.09,0.19,1.73,-0.07,-0.4,1.61,0.86,5.26,0.07,Buy
157,0.09,0.19,1.3,-0.32,2.31,4.07,0.3,1.15,0.1,Buy
158,0.09,0.19,1.58,0.01,1.57,18.07,0.04,2.03,0.06,Buy
159,0.09,0.19,1.1,0.13,2.95,22.1,0.01,9.57,0.06,Buy
160,0.09,0.19,1.84,-0.05,0.02,0.78,0.75,8.77,0.06,Buy
161,0.09,0.19,0.74,-0.07,1.97,14.13,0.92,3.55,0.02,Buy
162,0.09,0.19,1.34,-0.05,-0.26,2.63,0.77,3.69,0.01,Buy
163,0.68,0.12,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
164,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
165,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
166,0.09,0.19,1.3,-0.06,0.9,10.7,0.85,8.01,0.07,Buy
167,0.09,0.19,1.86,0.03,1.1,-12.41,0.81,2.97,0.04,Buy
168,0.09,0.19,1.73,-0.47,-0.57,-5.82,0.71,1.54,0.06,Buy
169,0.16,0.03,1.73,-0.14,-0.71,13.69,0.93,4.44,0.07,Buy
170,0.09,0.19,1.73,0.09,1.51,29.34,0.38,4.86,0.01,Buy
171,0.09,0.19,2.51,-0.04,1.36,4.26,0.87,3.99,0.18,Buy
172,-0.08,0.23,1.38,0.1,2.91,9.1,0.83,1.37,0.01,Buy
173,0.09,0.19,3.36,0.03,2.77,23.6,0.32,6.92,0.04,Buy
174,-0.11,0.16,1.27,0.28,4.94,51.23,0.74,2.74,0.02,Buy
175,0.21,0.02,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
176,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
177,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
178,-0.03,0.16,1.8,0.43,13.12,44.96,0.87,3.84,0.02,Buy
179,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
180,0.09,0.19,1.73,-2.2,-0.23,3.69,0.5,5.42,0.14,Buy
181,0.09,0.19,0.78,0.16,0.36,12.51,0.92,5.2,0.06,Buy
182,0.09,0.19,1.73,0.01,1.56,1.4,0.12,1.27,0.01,Buy
183,0.05,0.3,1.39,0.12,8.17,27.03,0.86,1.65,0.01,Buy
184,0.13,0.12,1.71,0.11,6.3,22.23,0.7,2.33,0.02,Buy
185,-0.08,-0.06,0.52,0.11,15.44,-112.88,0.98,2.59,0.05,Buy
186,0.09,0.19,0.74,0.38,9.32,14.87,0.56,1.96,0.06,Buy
187,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
188,0.19,0.25,0.66,0.06,5.94,44.22,0.71,1.82,0.01,Buy
189,0.17,0.25,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
190,0.24,0.33,0.28,0.12,5.47,60.04,0.64,2.01,0.01,Buy
191,0.07,0.17,1.73,0.08,9.69,11.14,0.9,3.86,0.04,Buy
192,0.09,0.19,3.08,-1.18,-0.46,1.86,1.1,16.64,0.15,Buy
193,0.09,0.19,1.02,0.18,5.17,28.75,0.87,7.79,0.07,Buy
194,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
195,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
196,-0.03,0.31,1.02,0.09,5.99,24.21,0.87,2.22,0.01,Buy
197,0.09,0.19,1.73,-0.12,1.24,4.36,0.95,7.74,0.04,Buy
198,0.09,0.19,0.89,0.08,0.39,2.91,0.79,2.43,0.06,Buy
199,0.06,-0.24,1.43,0.15,8.8,29.01,0.93,3.79,0.02,Buy
200,0.09,0.19,1.15,-0.3,0.19,1.42,1.0,21.74,0.21,Buy
201,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
202,0.07,0.02,0.62,0.06,4.64,37.34,0.9,2.72,0.02,Buy
203,0.0,0.23,0.83,-0.16,1.27,16.87,1.02,2.62,0.02,Buy
204,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
205,0.09,0.19,3.2,-0.04,0.16,2.82,0.85,4.13,0.05,Buy
206,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
207,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
208,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
209,0.13,0.34,1.81,-0.22,1.65,35.47,0.82,4.28,0.04,Buy
210,0.08,0.21,1.73,0.44,1.31,28.33,0.93,3.51,0.02,Buy
211,0.09,0.19,0.9,-0.03,0.33,75.56,0.39,2.17,0.06,Buy
212,0.2,0.17,0.37,0.13,4.09,41.65,0.8,2.49,0.01,Buy
213,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
214,0.09,0.19,1.14,-0.01,0.14,6.09,0.99,7.27,0.09,Buy
215,0.39,-0.01,0.74,0.27,5.06,91.59,0.98,3.81,0.02,Buy
216,0.09,0.19,2.76,-0.12,1.44,9.41,0.69,3.12,0.03,Buy
217,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
218,0.07,0.13,0.42,0.15,3.52,39.19,0.88,1.6,0.01,Buy
219,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
220,0.09,0.19,1.34,0.22,0.26,1.41,0.31,1.5,0.06,Buy
221,0.09,0.19,1.64,0.3,6.09,50.04,0.95,4.26,0.04,Buy
222,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
223,0.09,0.19,1.73,0.35,1.24,11.69,0.71,4.48,0.03,Buy
224,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
225,0.05,0.28,2.09,0.18,3.34,9.0,0.78,1.17,0.02,Buy
226,-0.0,0.02,0.27,0.1,2.59,13.65,0.84,5.14,0.03,Buy
227,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
228,0.09,0.19,2.86,-0.02,0.78,10.72,0.87,4.93,0.1,Buy
229,-0.11,0.08,1.73,0.04,1.95,13.54,0.97,3.98,0.04,Buy
230,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
231,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
232,0.09,0.19,0.52,0.55,3.56,30.35,0.79,4.26,0.06,Buy
233,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
234,-0.0,0.16,1.73,-0.05,1.2,5.39,1.02,8.39,0.2,Buy
235,0.09,0.19,0.89,0.12,0.12,9.51,0.42,1.8,0.03,Buy
236,0.21,-0.01,1.1,0.29,8.17,66.44,0.97,3.36,0.01,Buy
237,0.09,0.19,0.25,0.06,11.4,8.16,0.27,3.48,0.07,Buy
238,0.05,0.15,1.15,0.18,2.07,29.96,0.97,7.43,0.05,Buy
239,0.09,0.19,1.64,2.12,2.54,26.84,0.31,1.12,0.01,Buy
240,0.09,0.19,1.07,0.17,0.71,4.16,0.32,2.48,0.06,Buy
241,0.09,0.19,1.73,0.0,-0.96,3.75,0.44,6.59,0.29,Buy
242,0.09,0.19,2.17,0.01,0.18,7.76,0.94,2.13,0.03,Buy
243,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
244,0.05,0.24,1.2,0.34,3.01,25.68,0.93,2.77,0.02,Buy
245,0.09,0.19,1.88,-0.16,0.55,9.52,0.48,5.35,0.1,Buy
246,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
247,0.09,0.19,1.0,0.02,2.74,19.54,0.96,9.31,0.07,Buy
248,0.17,0.5,1.05,-0.0,4.03,34.12,0.65,1.4,0.01,Buy
249,0.09,0.19,1.08,0.06,6.05,29.84,0.86,5.3,0.06,Buy
250,0.09,0.19,2.47,-0.1,0.66,5.47,0.68,2.03,0.02,Buy
251,0.09,0.19,0.73,0.06,1.14,8.24,0.81,11.69,0.33,Buy
252,0.09,0.19,0.63,0.23,0.24,4.4,0.35,1.98,0.06,Buy
253,0.09,0.19,1.15,0.13,0.78,21.06,0.25,0.61,0.06,Buy
254,-0.1,0.18,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
255,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
256,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
257,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
258,0.18,0.42,0.5,0.13,3.92,15.99,0.78,4.23,0.03,Buy
259,-0.03,0.16,1.73,0.15,8.37,84.5,0.77,2.2,0.01,Buy
260,-0.18,0.22,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
261,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
262,0.09,0.19,1.13,0.01,0.16,16.49,0.7,2.41,0.03,Buy
263,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
264,0.09,0.19,1.52,0.07,1.45,4.93,0.99,5.07,0.07,Buy
265,-0.04,0.16,1.1,0.04,7.17,22.34,0.8,2.79,0.01,Buy
266,0.14,0.34,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
267,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
268,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
269,0.2,0.21,1.64,0.05,2.48,8.03,0.57,3.25,0.14,Buy
270,0.09,0.19,0.39,0.13,3.08,6.16,0.13,4.17,0.06,Buy
271,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
272,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
273,0.02,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
274,0.07,0.03,1.23,0.07,22.57,35.87,0.73,3.46,0.02,Buy
275,0.09,0.19,1.12,-0.09,4.76,13.58,0.89,2.95,0.07,Buy
276,0.1,0.21,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
277,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
278,0.13,-0.1,1.7,0.01,3.22,33.89,0.88,3.55,0.04,Buy
279,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
280,0.04,0.4,0.99,0.08,14.91,51.42,0.87,3.07,0.02,Buy
281,0.09,0.19,1.73,-0.37,-0.16,1.52,0.56,3.02,0.06,Buy
282,0.06,-0.05,1.23,-0.17,4.22,-5.08,0.99,3.7,0.03,Buy
283,0.09,0.19,3.27,-0.05,-0.31,11.12,0.94,4.22,0.06,Buy
284,0.23,0.01,1.49,0.11,3.48,15.17,0.98,11.21,0.11,Buy
285,0.09,0.19,2.19,-0.28,-1.27,27.88,0.94,4.71,0.08,Buy
286,0.05,-0.1,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
287,0.16,0.29,1.04,0.07,4.02,-3.42,0.84,6.09,0.05,Buy
288,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
289,-0.39,0.28,0.86,0.19,2.79,2.13,0.9,9.41,0.09,Buy
290,0.03,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
291,0.05,0.21,0.37,0.17,7.44,10.99,0.77,3.29,0.02,Buy
292,0.42,0.03,0.6,0.11,0.44,14.17,1.0,5.36,0.09,Buy
293,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
294,0.09,0.19,0.81,0.08,0.34,43.17,0.96,3.37,0.06,Buy
295,0.09,0.19,1.73,0.09,4.46,15.88,0.93,13.79,0.19,Buy
296,0.09,0.19,1.73,0.0,-0.95,3.52,0.26,7.82,0.21,Buy
297,0.09,0.19,1.72,0.07,6.9,26.14,1.05,10.77,0.2,Buy
298,0.09,0.19,0.84,0.05,0.18,5.28,0.61,1.33,0.06,Buy
299,0.09,0.34,1.18,0.06,11.37,24.78,0.58,6.03,0.03,Buy
300,-0.01,0.02,0.51,0.18,5.0,51.6,0.81,6.11,0.03,Buy
301,0.09,0.19,0.89,0.42,3.69,80.33,0.28,2.18,0.0,Buy
302,0.09,0.19,0.61,0.19,0.79,2.25,0.19,1.62,0.06,Buy
303,0.09,0.19,2.11,0.24,1.0,14.4,0.04,1.74,0.06,Buy
304,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
305,-0.1,0.24,1.73,0.08,5.14,24.72,0.84,3.11,0.03,Buy
306,0.13,0.52,1.73,0.08,2.58,7.41,1.04,4.98,0.05,Buy
307,0.09,0.19,2.11,0.06,2.72,33.99,0.37,2.09,0.03,Buy
308,0.05,0.13,0.85,0.14,1.64,3.96,0.81,19.26,0.14,Buy
309,0.09,0.16,1.57,0.13,6.69,6.27,0.94,2.38,0.02,Buy
310,0.09,0.19,0.99,0.25,0.58,14.66,0.25,0.73,0.06,Buy
311,-0.06,0.33,1.12,0.19,9.31,11.18,0.8,4.13,0.01,Buy
312,0.09,0.19,1.07,-0.04,-0.27,8.02,1.23,11.63,0.32,Buy
313,0.15,0.13,1.25,0.21,2.7,32.55,0.83,1.22,0.02,Buy
314,0.24,0.04,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
315,0.09,0.19,1.56,0.06,5.68,21.59,1.04,6.07,0.05,Buy
316,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
317,0.12,0.03,1.34,0.07,16.1,113.58,1.0,5.27,0.03,Buy
318,-0.09,0.27,0.84,0.03,1.96,13.53,0.97,6.45,0.06,Buy
319,-0.25,0.2,0.62,0.09,4.18,9.86,0.88,8.73,0.06,Buy
320,0.09,0.19,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
321,0.09,0.19,1.19,0.04,0.85,12.6,1.07,5.05,0.11,Buy
322,0.01,0.1,1.73,0.01,2.95,130.0,0.65,4.69,0.06,Buy
323,0.15,0.38,1.46,0.34,1.99,16.77,0.84,2.98,0.03,Buy
324,0.09,0.19,0.53,0.33,2.95,19.82,0.64,1.93,0.06,Buy
325,-0.2,0.14,0.74,0.05,5.35,67.67,0.74,2.69,0.01,Buy
