,Ticker,Conversations,Headlines,payoutRatio,beta,regularMarketVolume,profitMargins,52WeekChange,forwardEps,bookValue,sharesShort,sharesPercentSharesOut,trailingEps,heldPercentInstitutions,heldPercentInsiders,mostRecentQuarter,nextFiscalYearEnd,shortRatio,enterpriseValue,earningsQuarterlyGrowth,sharesShortPriorMonth,shortPercentOfFloat,pegRatio
41,BATRK,0.2606186046511626,0.6651200000000002,0.0,0.924672,81358.0,-0.33687,0.26097214,-0.32,4.994,579677.0,0.0111,-2.466,0.77828,0.094919994,1625011200.0,1672444800.0,7.33,1919591808.0,,533302.0,0.0155,
42,BCLI,0.6722538461538464,0.1846714285714286,0.0,-0.012554,123959.0,0.0,-0.7710247,-0.94,0.831,1041197.0,0.0287,-0.856,0.15537,0.17415,1625011200.0,1672444800.0,6.14,89101136.0,,894216.0,0.033,
43,BCPC,0.0548593220338983,0.5342666666666668,0.21090001,0.585152,66216.0,0.12082,0.45099878,4.13,26.837,533443.0,0.0165,2.75,0.8958,0.008,1625011200.0,1672444800.0,6.09,4571801600.0,0.076,398456.0,0.0227,1.63
44,BECN,0.0667046511627907,0.314588888888889,0.0,2.0131,217466.0,-0.01038,0.71358585,4.76,23.406,2197015.0,0.031400003,-1.476,1.04471,0.00635,1625011200.0,1664496000.0,5.27,5916921856.0,,2127069.0,0.039300002,1.38
45,BEEM,0.5618569037656904,-0.0864214285714285,0.0,0.91048,112895.0,-0.91308,1.0007093,-0.68,3.295,2811107.0,0.3147,-0.795,0.46675,0.15677,1625011200.0,1672444800.0,14.12,228937856.0,,2876348.0,0.36189997,
46,BFIN,0.0149951807228915,0.47711,0.76919997,0.644104,37166.0,0.15298,0.51797605,0.62,11.788,142200.0,0.010299999,0.527,0.62603,0.12354,1625011200.0,1672444800.0,2.94,-359267840.0,-0.181,176845.0,0.012999999,2.87
47,BGCP,0.5603958217270195,0.105725,0.22219999,2.211244,2430984.0,0.03541,1.1223629,0.71,1.832,9984181.0,0.025899999,0.178,0.65651,0.07635,1625011200.0,1672444800.0,3.53,2939538432.0,-0.349,11566131.0,0.030299999,0.67
48,BGRY,0.2348357142857143,0.25484,,,687664.0,0.0,-0.363388,-0.48,-51.061,1485657.0,0.0064999997,-30.603,0.87971,0.0648,1625011200.0,1672444800.0,4.47,1766760448.0,,1150218.0,,
49,BIGC,0.3867413793103447,0.3538199999999999,0.0,,1278789.0,-0.25663,-0.3382318,-0.38,2.968,7619897.0,0.107200004,-0.665,0.74517995,0.15461001,1625011200.0,1672444800.0,7.65,3781790208.0,,7023701.0,0.1516,
50,BIIB,0.5344996644295302,0.457742105263158,0.0,0.389737,1039040.0,0.16397,0.084359884,20.76,72.112,2376376.0,0.0159,12.504,0.86483,0.00678,1625011200.0,1672444800.0,2.79,50044358656.0,-0.709,1790234.0,0.018,-2.24
51,BKNG,0.3163999999999999,0.18421,0.0,1.262554,172025.0,0.05767,0.2994516,98.03,116.878,823704.0,0.0201,10.056,0.93455005,0.00265,1625011200.0,1672444800.0,2.53,96098877440.0,,694181.0,0.0201,0.27
52,BLIN,0.4380916967509027,0.3315,0.0,3.09989,243144.0,-0.35911,1.2660098,-0.04,1.225,393412.0,0.0469,-0.861,0.13813,0.00823,1625011200.0,1664496000.0,0.27,45227600.0,,525233.0,0.047199998,
