,headline_polarity,convo_polarity,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat,Buy
370,0.4838709677419355,0.4526315789473684,1.73,0.07,0.38279873105393014,0.005599331224947153,0.09187279151943463,0.040113985094256906,0.05084745762711865,1
376,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
379,0.7258064516129032,0.31578947368421045,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
381,0.44354838709677424,0.5789473684210525,1.01,0.07,0.4484784396663141,0.00573437036184956,0.16607773851590105,0.05808855765015344,0.05084745762711865,1
386,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
389,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
400,0.4838709677419355,0.4526315789473684,1.65,0.13,0.392080836564446,0.0056419853210721155,0.13427561837455831,0.14796142042963611,0.28813559322033905,1
403,0.4838709677419355,0.4526315789473684,1.73,-0.08,0.3838561861120902,0.005619468075757278,0.01413427561837456,0.03704515563349408,0.1016949152542373,1
406,0.5483870967741936,0.7263157894736841,1.45,0.16,0.5747855716132063,0.005903056696750994,0.14840989399293286,0.04405962297238053,0.05084745762711865,1
407,0.4838709677419355,0.4526315789473684,1.24,0.08,0.42815180354834914,0.005718479620155946,0.15371024734982333,0.11705392371766768,0.1016949152542373,1
408,0.4838709677419355,0.4526315789473684,0.28,0.34,0.4185172130184467,0.0057841656414886556,0.01413427561837456,0.06334940815431828,0.1016949152542373,1
418,0.5080645161290323,0.4842105263157894,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
419,0.4838709677419355,0.4526315789473684,1.73,-0.34,0.37539654564680996,0.005674924834218391,0.03356890459363958,0.04164839982463831,0.1016949152542373,1
422,0.41935483870967744,0.46315789473684205,0.97,0.23,0.39948302197156615,0.005709537057016626,0.127208480565371,0.09118807540552389,0.1016949152542373,1
432,0.4838709677419355,0.4526315789473684,1.73,-0.0,0.3833862060862413,0.00563330009787925,0.12190812720848056,0.02981148619026743,0.016949152542372885,1
434,0.4838709677419355,0.34736842105263155,2.34,-0.24,0.4050052872752907,0.005659291432471233,0.12367491166077738,0.03879877246821569,0.1016949152542373,1
437,0.4838709677419355,0.4526315789473684,1.73,-0.52,0.3788039008342145,0.005624679209672997,0.09893992932862192,0.04581323980710215,0.1016949152542373,1
447,0.47580645161290325,0.5473684210526315,0.42,0.18,0.4540007049700387,0.005721181689593726,0.11660777385159012,0.04405962297238053,0.016949152542372885,1
450,0.4838709677419355,0.4526315789473684,0.66,0.19,0.40571025731406407,0.0056851540970899875,0.01413427561837456,0.026742656729504603,0.1016949152542373,1
456,0.4838709677419355,0.4526315789473684,1.0,0.06,0.5582187757020326,1.0,0.00706713780918728,0.032661113546690046,0.1016949152542373,1
457,0.7096774193548387,0.39999999999999997,1.22,0.06,0.39807308189401946,0.00554824924557578,0.18374558303886926,0.10346339324857519,0.1016949152542373,1
458,0.4838709677419355,0.4526315789473684,1.11,0.32,0.4028903771589707,0.005735142381688926,0.127208480565371,0.11749232792634809,0.08474576271186442,1
459,0.45967741935483875,0.4736842105263157,1.34,0.31,0.5428269298554811,0.006456530586589682,0.14840989399293286,0.08680403331871986,0.03389830508474577,1
461,0.4838709677419355,0.4526315789473684,1.73,0.01,0.41381741275995765,0.006437230090605536,0.1148409893992933,0.10258658483121438,0.1016949152542373,1
466,0.4838709677419355,0.4526315789473684,1.66,0.09,0.40324286217835736,0.005793687219507501,0.17491166077738515,0.14357737834283207,0.3220338983050848,1
477,0.4838709677419355,0.4526315789473684,0.9,0.21,0.43437903889084706,0.005667461975771187,0.07243816254416961,0.11398509425690485,0.11864406779661019,1
